# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1
# k, omega, A(k,omega)

0.01 2.92 0
0.01 2.96 0
0.01 3 0
0.015 -3 5.06383e-05
0.015 -2.96 5.50582e-05
0.015 -2.92 5.50748e-05
0.015 -2.88 6.61242e-05
0.015 -2.84 7.07164e-05
0.015 -2.8 6.44694e-05
0.015 -2.76 6.86744e-05
0.015 -2.72 8.35008e-05
0.015 -2.68 8.21342e-05
0.015 -2.64 0.000105458
0.015 -2.6 0.000103445
0.015 -2.56 0.000122537
0.015 -2.52 0.000139395
0.015 -2.48 0.000167985
0.015 -2.44 0.000203553
0.015 -2.4 0.000258691
0.015 -2.36 0.000348136
0.015 -2.32 0.000500324
0.015 -2.28 0.000599088
0.015 -2.24 0.00067201
0.015 -2.2 0.00074661
0.015 -2.16 0.000850799
0.015 -2.12 0.000927887
0.015 -2.08 0.000904197
0.015 -2.04 0.00105181
0.015 -2 0.00111524
0.015 -1.96 0.00108343
0.015 -1.92 0.00117434
0.015 -1.88 0.00119534
0.015 -1.84 0.00119076
0.015 -1.8 0.00120176
0.015 -1.76 0.00135764
0.015 -1.72 0.00127768
0.015 -1.68 0.00131153
0.015 -1.64 0.00142304
0.015 -1.6 0.0014274
0.015 -1.56 0.00140781
0.015 -1.52 0.0014926
0.015 -1.48 0.00149957
0.015 -1.44 0.00138788
0.015 -1.4 0.00151607
0.015 -1.36 0.00148928
0.015 -1.32 0.00154153
0.015 -1.28 0.00166704
0.015 -1.24 0.00158838
0.015 -1.2 0.00165239
0.015 -1.16 0.00168634
0.015 -1.12 0.00161265
0.015 -1.08 0.00168413
0.015 -1.04 0.00175553
0.015 -1 0.00170354
0.015 -0.96 0.00177353
0.015 -0.92 0.00176592
0.015 -0.88 0.00175738
0.015 -0.84 0.00184936
0.015 -0.8 0.0017983
0.015 -0.76 0.00187649
0.015 -0.72 0.0018883
0.015 -0.68 0.00192885
0.015 -0.64 0.00195031
0.015 -0.6 0.00198456
0.015 -0.56 0.00202962
0.015 -0.52 0.0020649
0.015 -0.48 0.00209296
0.015 -0.44 0.00216936
0.015 -0.4 0.00223685
0.015 -0.36 0.00225659
0.015 -0.32 0.00234319
0.015 -0.28 0.00239959
0.015 -0.24 0.00243548
0.015 -0.2 0.00236353
0.015 -0.16 0.00199052
0.015 -0.12 0.00139494
0.015 -0.08 0.000920773
0.015 -0.04 0.00063619
0.015 0 0.000465942
0.015 0.04 0.000358341
0.015 0.08 0.000286172
0.015 0.12 0.000235268
0.015 0.16 0.000197856
0.015 0.2 0.000169424
0.015 0.24 0.000147208
0.015 0.28 0.000129466
0.015 0.32 0.000115025
0.015 0.36 0.000103076
0.015 0.4 9.30561e-05
0.015 0.44 8.4556e-05
0.015 0.48 7.72623e-05
0.015 0.52 7.09501e-05
0.015 0.56 6.5442e-05
0.015 0.6 6.06082e-05
0.015 0.64 5.63221e-05
0.015 0.68 5.25172e-05
0.015 0.72 4.91174e-05
0.015 0.76 4.60532e-05
0.015 0.8 4.32929e-05
0.015 0.84 4.07827e-05
0.015 0.88 3.8513e-05
0.015 0.92 3.64269e-05
0.015 0.96 3.45307e-05
0.015 1 0
0.015 1.04 0
0.015 1.08 0
0.015 1.12 0
0.015 1.16 0
0.015 1.2 0
0.015 1.24 0
0.015 1.28 0
0.015 1.32 0
0.015 1.36 0
0.015 1.4 0
0.015 1.44 0
0.015 1.48 0
0.015 1.52 0
0.015 1.56 0
0.015 1.6 0
0.015 1.64 0
0.015 1.68 0
0.015 1.72 0
0.015 1.76 0
0.015 1.8 0
0.015 1.84 0
0.015 1.88 0
0.015 1.92 0
0.015 1.96 0
0.015 2 0
0.015 2.04 0
0.015 2.08 0
0.015 2.12 0
0.015 2.16 0
0.015 2.2 0
0.015 2.24 0
0.015 2.28 0
0.015 2.32 0
0.015 2.36 0
0.015 2.4 0
0.015 2.44 0
0.015 2.48 0
0.015 2.52 0
0.015 2.56 0
0.015 2.6 0
0.015 2.64 0
0.015 2.68 0
0.015 2.72 0
0.015 2.76 0
0.015 2.8 0
0.015 2.84 0
0.015 2.88 0
0.015 2.92 0
0.015 2.96 0
0.015 3 0
0.02 -3 5.07319e-05
0.02 -2.96 5.61987e-05
0.02 -2.92 5.54322e-05
0.02 -2.88 6.71688e-05
0.02 -2.84 6.99999e-05
0.02 -2.8 6.45203e-05
0.02 -2.76 6.74477e-05
0.02 -2.72 8.15303e-05
0.02 -2.68 7.96581e-05
0.02 -2.64 0.00010527
0.02 -2.6 0.000104736
0.02 -2.56 0.000121435
0.02 -2.52 0.000139779
0.02 -2.48 0.000169116
0.02 -2.44 0.000205542
0.02 -2.4 0.000257974
0.02 -2.36 0.000346652
0.02 -2.32 0.000496551
0.02 -2.28 0.000597465
0.02 -2.24 0.000669191
0.02 -2.2 0.00074914
0.02 -2.16 0.000850871
0.02 -2.12 0.000924287
0.02 -2.08 0.000905517
0.02 -2.04 0.00104896
0.02 -2 0.00111853
0.02 -1.96 0.00108949
0.02 -1.92 0.00116118
0.02 -1.88 0.00119771
0.02 -1.84 0.0011935
0.02 -1.8 0.00119933
0.02 -1.76 0.001346
0.02 -1.72 0.00127415
0.02 -1.68 0.00129727
0.02 -1.64 0.00141239
0.02 -1.6 0.0014195
0.02 -1.56 0.00140676
0.02 -1.52 0.00149634
0.02 -1.48 0.00150814
0.02 -1.44 0.0013893
0.02 -1.4 0.00149082
0.02 -1.36 0.0014982
0.02 -1.32 0.00153875
0.02 -1.28 0.00166214
0.02 -1.24 0.00158662
0.02 -1.2 0.00164785
0.02 -1.16 0.00167425
0.02 -1.12 0.00162171
0.02 -1.08 0.00167674
0.02 -1.04 0.00175368
0.02 -1 0.00170054
0.02 -0.96 0.00176868
0.02 -0.92 0.00175931
0.02 -0.88 0.00175899
0.02 -0.84 0.00180597
0.02 -0.8 0.00178906
0.02 -0.76 0.00187495
0.02 -0.72 0.00189277
0.02 -0.68 0.00192628
0.02 -0.64 0.00195251
0.02 -0.6 0.00198341
0.02 -0.56 0.00203545
0.02 -0.52 0.00205504
0.02 -0.48 0.00210784
0.02 -0.44 0.0021598
0.02 -0.4 0.00225075
0.02 -0.36 0.00226717
0.02 -0.32 0.00234112
0.02 -0.28 0.00239738
0.02 -0.24 0.00243517
0.02 -0.2 0.00235573
0.02 -0.16 0.00198435
0.02 -0.12 0.00139478
0.02 -0.08 0.00092207
0.02 -0.04 0.000636767
0.02 0 0.00046615
0.02 0.04 0.000358396
0.02 0.08 0.00028616
0.02 0.12 0.000235228
0.02 0.16 0.000197807
0.02 0.2 0.000169373
0.02 0.24 0.000147159
0.02 0.28 0.00012942
0.02 0.32 0.000114982
0.02 0.36 0.000103037
0.02 0.4 9.30207e-05
0.02 0.44 8.45237e-05
0.02 0.48 7.72329e-05
0.02 0.52 7.09232e-05
0.02 0.56 6.54174e-05
0.02 0.6 6.05857e-05
0.02 0.64 5.63014e-05
0.02 0.68 5.24981e-05
0.02 0.72 4.90997e-05
0.02 0.76 4.60369e-05
0.02 0.8 4.32777e-05
0.02 0.84 4.07687e-05
0.02 0.88 3.84999e-05
0.02 0.92 3.64147e-05
0.02 0.96 3.45193e-05
0.02 1 0
0.02 1.04 0
0.02 1.08 0
0.02 1.12 0
0.02 1.16 0
0.02 1.2 0
0.02 1.24 0
0.02 1.28 0
0.02 1.32 0
0.02 1.36 0
0.02 1.4 0
0.02 1.44 0
0.02 1.48 0
0.02 1.52 0
0.02 1.56 0
0.02 1.6 0
0.02 1.64 0
0.02 1.68 0
0.02 1.72 0
0.02 1.76 0
0.02 1.8 0
0.02 1.84 0
0.02 1.88 0
0.02 1.92 0
0.02 1.96 0
0.02 2 0
0.02 2.04 0
