# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=3/2
# k, omega, A(k,omega)

0.01 -1.96 0.000993982
0.01 -1.92 0.00111412
0.01 -1.88 0.00103153
0.01 -1.84 0.00102626
0.01 -1.8 0.00104247
0.01 -1.76 0.00116393
0.01 -1.72 0.00105961
0.01 -1.68 0.00115151
0.01 -1.64 0.00123417
0.01 -1.6 0.00116884
0.01 -1.56 0.00107898
0.01 -1.52 0.00124404
0.01 -1.48 0.00120966
0.01 -1.44 0.00113793
0.01 -1.4 0.00122314
0.01 -1.36 0.00127585
0.01 -1.32 0.00119136
0.01 -1.28 0.00130363
0.01 -1.24 0.00130737
0.01 -1.2 0.00119644
0.01 -1.16 0.00134731
0.01 -1.12 0.00127214
0.01 -1.08 0.00127078
0.01 -1.04 0.00131429
0.01 -1 0.00129617
0.01 -0.96 0.00121258
0.01 -0.92 0.00123695
0.01 -0.88 0.00128951
0.01 -0.84 0.00125748
0.01 -0.8 0.00128405
0.01 -0.76 0.00128433
0.01 -0.72 0.001299
0.01 -0.68 0.00130536
0.01 -0.64 0.00131645
0.01 -0.6 0.00132051
0.01 -0.56 0.00130231
0.01 -0.52 0.00132437
0.01 -0.48 0.00134877
0.01 -0.44 0.0013567
0.01 -0.4 0.00135447
0.01 -0.36 0.00137198
0.01 -0.32 0.00141025
0.01 -0.28 0.00141246
0.01 -0.24 0.00140618
0.01 -0.2 0.00137105
0.01 -0.16 0.00122261
0.01 -0.12 0.0009317
0.01 -0.08 0.000630193
0.01 -0.04 0.000430177
0.01 0 0.000310415
0.01 0.04 0.000236339
0.01 0.08 0.000187631
0.01 0.12 0.000153785
0.01 0.16 0.000129178
0.01 0.2 0.000110616
0.01 0.24 9.61928e-05
0.01 0.28 8.47057e-05
0.01 0.32 7.53822e-05
0.01 0.36 6.76771e-05
0.01 0.4 6.12135e-05
0.01 0.44 5.57287e-05
0.01 0.48 5.10229e-05
0.01 0.52 4.69441e-05
0.01 0.56 4.33784e-05
0.01 0.6 4.02497e-05
0.01 0.64 3.74756e-05
0.01 0.68 3.50056e-05
0.01 0.72 3.27984e-05
0.01 0.76 3.08034e-05
0.01 0.8 2.90016e-05
0.01 0.84 2.73675e-05
0.01 0.88 2.58792e-05
0.01 0.92 2.45144e-05
0.01 0.96 2.3273e-05
0.01 1 0
0.01 1.04 0
0.01 1.08 0
0.01 1.12 0
0.01 1.16 0
0.01 1.2 0
0.01 1.24 0
0.01 1.28 0
0.01 1.32 0
0.01 1.36 0
0.01 1.4 0
0.01 1.44 0
0.01 1.48 0
0.01 1.52 0
0.01 1.56 0
0.01 1.6 0
0.01 1.64 0
0.01 1.68 0
0.01 1.72 0
0.01 1.76 0
0.01 1.8 0
0.01 1.84 0
0.01 1.88 0
0.01 1.92 0
0.01 1.96 0
0.01 2 0
0.01 2.04 0
0.01 2.08 0
0.01 2.12 0
0.01 2.16 0
0.01 2.2 0
0.01 2.24 0
0.01 2.28 0
0.01 2.32 0
0.01 2.36 0
0.01 2.4 0
0.01 2.44 0
0.01 2.48 0
0.01 2.52 0
0.01 2.56 0
0.01 2.6 0
0.01 2.64 0
0.01 2.68 0
0.01 2.72 0
0.01 2.76 0
0.01 2.8 0
0.01 2.84 0
0.01 2.88 0
0.01 2.92 0
0.01 2.96 0
0.01 3 0
0.015 -3 3.13588e-05
0.015 -2.96 3.98352e-05
0.015 -2.92 3.99649e-05
0.015 -2.88 4.67541e-05
0.015 -2.84 4.42421e-05
0.015 -2.8 4.79234e-05
0.015 -2.76 5.37107e-05
0.015 -2.72 5.67277e-05
0.015 -2.68 6.74477e-05
0.015 -2.64 6.91881e-05
0.015 -2.6 7.33016e-05
0.015 -2.56 8.51402e-05
0.015 -2.52 9.1463e-05
0.015 -2.48 0.00010948
0.015 -2.44 0.000136636
0.015 -2.4 0.000163661
0.015 -2.36 0.000213808
0.015 -2.32 0.000272056
0.015 -2.28 0.000383678
0.015 -2.24 0.000489462
0.015 -2.2 0.000699278
0.015 -2.16 0.000834663
0.015 -2.12 0.000903508
0.015 -2.08 0.000829235
0.015 -2.04 0.00100259
0.015 -2 0.000968234
0.015 -1.96 0.000995988
0.015 -1.92 0.0011022
0.015 -1.88 0.00103308
0.015 -1.84 0.00102567
0.015 -1.8 0.0010466
0.015 -1.76 0.0011633
0.015 -1.72 0.00105841
0.015 -1.68 0.00114715
0.015 -1.64 0.00123371
0.015 -1.6 0.00116827
0.015 -1.56 0.0010839
0.015 -1.52 0.00125165
0.015 -1.48 0.0012105
0.015 -1.44 0.00113917
0.015 -1.4 0.00121787
0.015 -1.36 0.00127295
0.015 -1.32 0.00118774
0.015 -1.28 0.00130279
0.015 -1.24 0.00130762
0.015 -1.2 0.00119153
0.015 -1.16 0.00134613
0.015 -1.12 0.00126984
0.015 -1.08 0.00126899
0.015 -1.04 0.00130024
0.015 -1 0.00129293
0.015 -0.96 0.00121451
0.015 -0.92 0.00123187
0.015 -0.88 0.00128653
0.015 -0.84 0.00125229
0.015 -0.8 0.00128092
0.015 -0.76 0.00127958
0.015 -0.72 0.00129665
0.015 -0.68 0.00130502
0.015 -0.64 0.00130271
0.015 -0.6 0.0013266
0.015 -0.56 0.00130061
0.015 -0.52 0.0013215
0.015 -0.48 0.00134808
0.015 -0.44 0.00135973
0.015 -0.4 0.00135883
0.015 -0.36 0.00137558
0.015 -0.32 0.0014074
0.015 -0.28 0.00140738
0.015 -0.24 0.00140006
0.015 -0.2 0.00137602
0.015 -0.16 0.00122212
0.015 -0.12 0.000931633
0.015 -0.08 0.000630306
0.015 -0.04 0.000430457
0.015 0 0.000310514
0.015 0.04 0.000236371
0.015 0.08 0.000187634
0.015 0.12 0.000153775
0.015 0.16 0.000129163
0.015 0.2 0.0001106
0.015 0.24 9.61767e-05
0.015 0.28 8.46905e-05
0.015 0.32 7.5368e-05
0.015 0.36 6.76639e-05
0.015 0.4 6.12015e-05
0.015 0.44 5.57176e-05
0.015 0.48 5.10128e-05
0.015 0.52 4.69349e-05
0.015 0.56 4.33699e-05
0.015 0.6 4.02419e-05
0.015 0.64 3.74685e-05
0.015 0.68 3.4999e-05
0.015 0.72 3.27923e-05
0.015 0.76 3.07977e-05
0.015 0.8 2.89963e-05
0.015 0.84 2.73626e-05
0.015 0.88 2.58746e-05
0.015 0.92 2.45101e-05
0.015 0.96 2.3269e-05
0.015 1 0
0.015 1.04 0
0.015 1.08 0
0.015 1.12 0
0.015 1.16 0
0.015 1.2 0
0.015 1.24 0
0.015 1.28 0
0.015 1.32 0
0.015 1.36 0
0.015 1.4 0
0.015 1.44 0
0.015 1.48 0
0.015 1.52 0
0.015 1.56 0
0.015 1.6 0
0.015 1.64 0
0.015 1.68 0
0.015 1.72 0
0.015 1.76 0
0.015 1.8 0
0.015 1.84 0
0.015 1.88 0
0.015 1.92 0
0.015 1.96 0
0.015 2 0
0.015 2.04 0
0.015 2.08 0
