# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states at Fermi level
# U/W, site/L, LDOS
1.5 4.0000000000000001E-003 0.124905
1.5 6.0000000000000001E-003 0.125753
1.5 8.0000000000000002E-003 0.127016
1.5 1.0000000000000000E-002 0.128753
1.5 1.2000000000000000E-002 0.131064
1.5 1.4000000000000000E-002 0.134117
1.5 1.6000000000000000E-002 0.138208
1.5 1.7999999999999999E-002 0.143874
1.5 2.0000000000000000E-002 0.152049
1.5 2.1999999999999999E-002 0.163829
1.5 2.4000000000000000E-002 0.178307
1.5 2.5999999999999999E-002 0.191287
1.5 2.8000000000000001E-002 0.204948
1.5 2.9999999999999999E-002 0.218815
1.5 3.2000000000000001E-002 0.239249
1.5 3.4000000000000002E-002 0.258205
1.5 3.5999999999999997E-002 0.295418
1.5 3.7999999999999999E-002 0.320266
1.5 4.0000000000000001E-002 0.353154
1.5 4.2000000000000003E-002 0.407829
1.5 4.3999999999999997E-002 0.429029
1.5 4.5999999999999999E-002 0.519254
1.5 4.8000000000000001E-002 0.513167
1.5 5.0000000000000003E-002 0.470797
      
1.6 -5.0000000000000003E-002 1.05249
1.6 -4.8000000000000001E-002 1.15005
1.6 -4.5999999999999999E-002 1.29104
1.6 -4.3999999999999997E-002 1.40942
1.6 -4.2000000000000003E-002 1.39405
1.6 -4.0000000000000001E-002 1.30597
1.6 -3.7999999999999999E-002 1.21293
1.6 -3.5999999999999997E-002 1.59838
1.6 -3.4000000000000002E-002 1.65403
1.6 -3.2000000000000001E-002 2.00165
1.6 -2.9999999999999999E-002 2.37149
1.6 -2.8000000000000001E-002 2.74814
1.6 -2.5999999999999999E-002 2.95166
1.6 -2.4000000000000000E-002 3.1973
1.6 -2.1999999999999999E-002 3.52366
1.6 -2.0000000000000000E-002 4.05407
1.6 -1.7999999999999999E-002 4.95821
1.6 -1.6000000000000000E-002 6.29723
1.6 -1.4000000000000000E-002 7.90476
1.6 -1.2000000000000000E-002 9.22513
1.6 -1.0000000000000000E-002 11.4134
1.6 -8.0000000000000002E-003 14.7025
1.6 -6.0000000000000001E-003 18.8621
1.6 -4.0000000000000001E-003 25.5396
1.6 -2.0000000000000000E-003 35.1727
1.6 0.0000000000000000 40.5464
1.6 2.0000000000000000E-003 37.2382
1.6 4.0000000000000001E-003 27.5667
1.6 6.0000000000000001E-003 18.9929
1.6 8.0000000000000002E-003 13.8207
1.6 1.0000000000000000E-002 10.1687
1.6 1.2000000000000000E-002 7.91093
1.6 1.4000000000000000E-002 6.78487
1.6 1.6000000000000000E-002 5.78918
1.6 1.7999999999999999E-002 4.60831
1.6 2.0000000000000000E-002 3.96695
1.6 2.1999999999999999E-002 3.40416
1.6 2.4000000000000000E-002 3.39935
1.6 2.5999999999999999E-002 3.40335
1.6 2.8000000000000001E-002 3.26663
1.6 2.9999999999999999E-002 2.70819
1.6 3.2000000000000001E-002 2.19086
1.6 3.4000000000000002E-002 1.9716
1.6 3.5999999999999997E-002 1.70783
1.6 3.7999999999999999E-002 1.34811
1.6 4.0000000000000001E-002 1.32804
1.6 4.2000000000000003E-002 1.68951
1.6 4.3999999999999997E-002 1.75081
1.6 4.5999999999999999E-002 1.87589
1.6 4.8000000000000001E-002 1.77868
1.6 5.0000000000000003E-002 1.58481
      
1.7 -5.0000000000000003E-002 0.938141
1.7 -4.8000000000000001E-002 1.10764
1.7 -4.5999999999999999E-002 1.22365
1.7 -4.3999999999999997E-002 1.50831
1.7 -4.2000000000000003E-002 1.49297
1.7 -4.0000000000000001E-002 1.47465
1.7 -3.7999999999999999E-002 1.51265
1.7 -3.5999999999999997E-002 1.91093
1.7 -3.4000000000000002E-002 1.79606
1.7 -3.2000000000000001E-002 2.2494
1.7 -2.9999999999999999E-002 2.5437
1.7 -2.8000000000000001E-002 2.77643
1.7 -2.5999999999999999E-002 3.43654
1.7 -2.4000000000000000E-002 3.55813
1.7 -2.1999999999999999E-002 3.38781
1.7 -2.0000000000000000E-002 3.78578
1.7 -1.7999999999999999E-002 4.36747
1.7 -1.6000000000000000E-002 5.66568
1.7 -1.4000000000000000E-002 7.00471
1.7 -1.2000000000000000E-002 9.16754
1.7 -1.0000000000000000E-002 11.4096
1.7 -8.0000000000000002E-003 15.0945
1.7 -6.0000000000000001E-003 21.2458
1.7 -4.0000000000000001E-003 30.3256
1.7 -2.0000000000000000E-003 41.5258
1.7 0.0000000000000000 46.4593
1.7 2.0000000000000000E-003 38.11
1.7 4.0000000000000001E-003 27.305
1.7 6.0000000000000001E-003 19.9506
1.7 8.0000000000000002E-003 14.3049
1.7 1.0000000000000000E-002 10.2995
1.7 1.2000000000000000E-002 8.62627
1.7 1.4000000000000000E-002 7.25998
1.7 1.6000000000000000E-002 5.59245
1.7 1.7999999999999999E-002 4.32874
1.7 2.0000000000000000E-002 3.62018
1.7 2.1999999999999999E-002 3.42587
1.7 2.4000000000000000E-002 3.37257
1.7 2.5999999999999999E-002 3.49086
1.7 2.8000000000000001E-002 3.20867
1.7 2.9999999999999999E-002 2.47583
1.7 3.2000000000000001E-002 2.17177
1.7 3.4000000000000002E-002 1.89063
1.7 3.5999999999999997E-002 2.0054
1.7 3.7999999999999999E-002 2.06366
1.7 4.0000000000000001E-002 2.25692
1.7 4.2000000000000003E-002 2.12507
1.7 4.3999999999999997E-002 1.76561
1.7 4.5999999999999999E-002 1.46231
1.7 4.8000000000000001E-002 1.2006
1.7 5.0000000000000003E-002 1.06737
      
1.8 -5.0000000000000003E-002 1.32601
1.8 -4.8000000000000001E-002 1.30721
1.8 -4.5999999999999999E-002 1.7029
1.8 -4.3999999999999997E-002 1.86495
