# linewidth of dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 S=1/2
# k, n=1.25, 1.33, 1.40, 1.50, 1.60, 1.66, 1.75, 1.80

0.455 0.017395 0.0167848 0.0201616 0.0325648 0.0371258 0.0321674 0.0203126 0.0231572
0.46 0.0177419 0.0177653 0.020366 0.033856 0.0369442 0.0297568 0.0196466 0.0215618
0.465 0.0177693 0.0187886 0.0203894 0.0366502 0.03415 0.026373 0.0214426 0.0196317
0.47 0.0175194 0.0195894 0.0200154 0.040266 0.0327928 0.025769 0.024731 0.0175608
0.475 0.0172903 0.0204522 0.0203952 0.0414342 0.036331 0.0273418 0.0268914 0.0168545
0.48 0.017197 0.0217216 0.0222384 0.0418894 0.038572 0.0288932 0.0269594 0.0170958
0.485 0.01716 0.023298 0.0243768 0.0456784 0.0383198 0.028168 0.026366 0.0176189
0.49 0.0171428 0.024805 0.0258202 0.0508822 0.0378198 0.02581 0.0272874 0.017825
0.495 0.0171197 0.0261344 0.027932 0.0531738 0.0371014 0.0240158 0.0285458 0.0172772
0.5 0.016972 0.0273272 0.0319046 0.0549944 0.0362776 0.0237088 0.0285008 0.016235
0.505 0.0167221 0.0281524 0.0356526 0.0581948 0.0366904 0.02354 0.0275872 0.0154648
0.51 0.0166174 0.0283734 0.0365256 0.0615426 0.0375592 0.023932 0.026782 0.0155289
0.515 0.0167759 0.0280692 0.0357488 0.0618932 0.0376672 0.0241404 0.0261856 0.0159827
0.52 0.0169352 0.0273908 0.0354474 0.0614246 0.0368396 0.0229362 0.0244064 0.0156581
0.525 0.016882 0.0263718 0.0349334 0.061462 0.0358338 0.0205848 0.022263 0.014726
0.53 0.0168824 0.0252088 0.033218 0.0604566 0.0357034 0.0194384 0.021073 0.0142538
0.535 0.0171621 0.0243532 0.0322568 0.0587732 0.0356562 0.0187648 0.020131 0.0147452
0.54 0.0174172 0.0241562 0.033339 0.0590134 0.034777 0.0186733 0.018611 0.0157106
0.545 0.017414 0.0244582 0.035378 0.0617852 0.035462 0.0196351 0.0177686 0.0162057
0.55 0.0175142 0.0248818 0.0398714 0.0628728 0.030642 0.0200314 0.0185794 0.01588
0.555 0.0182362 0.025394 0.0486254 0.0609544 0.0325272 0.0195655 0.0202352 0.0152155
0.56 0.0194797 0.0260298 0.0566178 0.0609886 0.032778 0.0194739 0.0215452 0.0150787
0.565 0.0202996 0.0261928 0.061967 0.063514 0.0325002 0.0211716 0.0216474 0.0157054
0.57 0.0204412 0.0256604 0.065305 0.0637636 0.032444 0.0241178 0.0215654 0.0164274
