# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the antiparallel spin configurations
# U/W, omega-Ef, DOS(omega)

0.0125628 -3.4477 0.000679533
0.0125628 -3.49791 0.000725229
0.0125628 -3.54812 0.000767739
0.0125628 -3.59833 0.000783211
0.0125628 -3.64854 0.000814048
0.0125628 -3.69874 0.000802626
0.0125628 -3.74895 0.00074294
0.0125628 -3.79916 0.000697544
0.0125628 -3.84937 0.000675827
0.0125628 -3.89958 0.000655814
0.0125628 -3.94979 0.000635687
0.0125628 -4 0.00060827
0.0125628 -4.05021 0.000582495
0.0125628 -4.10042 0.000570515
0.0125628 -4.15063 0.000553254
0.0125628 -4.20084 0.000525727
0.0125628 -4.25105 0.000504243
0.0125628 -4.30126 0.000487831
0.0125628 -4.35146 0.00047367
0.0125628 -4.40167 0.000457982
0.0125628 -4.45188 0.000445002
0.0125628 -4.50209 0.000436979
0.0125628 -4.5523 0.000424935
0.0125628 -4.60251 0.000409001
0.0125628 -4.65272 0.000395916
0.0125628 -4.70293 0.000384805
0.0125628 -4.75314 0.0003745
0.0125628 -4.80335 0.000364995
0.0125628 -4.85356 0.000355805
0.0125628 -4.90377 0.000346743
0.0125628 -4.95397 0.00033835
0.0125628 -5.00418 0.000330338
0.0125628 -5.05439 0.000322378
0.0125628 -5.1046 0.000314635
0.0125628 -5.15481 0.000307493
0.0125628 -5.20502 0.00030052
0.0125628 -5.25523 0.00029377
0.0125628 -5.30544 0.000287284
0.0125628 -5.35565 0.000280909
0.0125628 -5.40586 0.000274698
0.0125628 -5.45607 0.000268768
0.0125628 -5.50628 0.000262996
0.0125628 -5.55649 0.000257391
0.0125628 -5.60669 0.000252021
0.0125628 -5.6569 0.000246807
0.0125628 -5.70711 0.000241775
0.0125628 -5.75732 0.0002369
0.0125628 -5.80753 0.000232138
0.0125628 -5.85774 0.000227516
0.0125628 -5.90795 0.000223061
0.0125628 -5.95816 0.000218721
0.0125628 -6.00837 0.000214498
0.0125628 -6.05858 0.000210412
0.0125628 -6.10879 0.000206449
0.0125628 -6.159 0.000202589
0.0125628 -6.20921 0.000198829
0.0125628 -6.25941 0.000195175
0.0125628 -6.30962 0.000191627
0.0125628 -6.35983 0.000188171
0.0125628 -6.41004 0.000184803
0.0125628 -6.46025 0.000181536
0.0125628 -6.51046 0.000178358
0.0125628 -6.56067 0.00017526
0.0125628 -6.61088 0.000172241
0.0125628 -6.66109 0.0001693
0.0125628 -6.7113 0.000166434
0.0125628 -6.76151 0.000163366
0.0125628 -6.81172 0.000160381
0.0125628 -6.86192 0.00015774
0.0125628 -6.91213 0.000155163
0.0125628 -6.96234 0.00015265
0.0125628 -7.01255 0.000150198
0.0125628 -7.06276 0.000147806
0.0125628 -7.11297 0.00014547
0.0125628 -7.16318 0.00014319
0.0125628 -7.21339 0.000140964
0.0125628 -7.2636 0.000138789
0.0125628 -7.31381 0.000136665
0.0125628 -7.36402 0.00013459
0.0125628 -7.41423 0.000132562
0.0125628 -7.46444 0.000130579
0.0125628 -7.51464 0.000128642
0.0125628 -7.56485 0.000126747
0.0125628 -7.61506 0.000124895
0.0125628 -7.66527 0.000123083
0.0125628 -7.71548 0.00012131
0.0125628 -7.76569 0.000119576
0.0125628 -7.8159 0.000117879
0.0125628 -7.86611 0.000116218
0.0125628 -7.91632 0.000114592
0.0125628 -7.96653 0.000113001
0.0125628 -8.01674 0.000111442
0.0125628 -8.06695 0.000109916
0.0125628 -8.11715 0.000108421
0.0125628 -8.16736 0.000106957
0.0125628 -8.21757 0.000105522
0.0125628 -8.26778 0.000104116
0.0125628 -8.31799 0.000102738
0.0125628 -8.3682 0.000101388
0.0125628 -8.41841 0.000100064
0.0125628 -8.46862 9.87664e-05
0.0125628 -8.51883 9.74939e-05
0.0125628 -8.56904 9.62459e-05
0.0125628 -8.61925 9.50218e-05
0.0125628 -8.66946 9.38211e-05
0.0125628 -8.71967 9.26432e-05
0.0125628 -8.76987 9.14874e-05
0.0125628 -8.82008 9.03533e-05
0.0125628 -8.87029 8.92402e-05
0.0125628 -8.9205 8.81477e-05
0.0125628 -8.97071 8.70753e-05
0.0125628 -9.02092 8.60224e-05
0.0125628 -9.07113 8.49886e-05
0.0125628 -9.12134 8.39735e-05
0.0125628 -9.17155 8.28781e-05
0.0125628 -9.22176 8.18035e-05
0.0125628 -9.27197 8.0845e-05
0.0125628 -9.32218 7.99033e-05
0.0125628 -9.37238 7.89781e-05
0.0125628 -9.42259 7.80689e-05
0.0125628 -9.4728 7.71755e-05
0.0125628 -9.52301 7.62973e-05
0.0125628 -9.57322 7.54342e-05
0.0125628 -9.62343 7.45856e-05
0.0125628 -9.67364 7.37514e-05
0.0125628 -9.72385 7.29312e-05
0.0125628 -9.77406 7.21246e-05
0.0125628 -9.82427 7.13314e-05
0.0125628 -9.87448 7.05513e-05
0.0125628 -9.92469 6.9784e-05
0.0125628 -9.9749 6.90292e-05
0 x y
0 IsoCurve 198,
0  
0.0251256 1.9749 0.00163746
0.0251256 1.92469 0.00156772
0.0251256 1.87448 0.00184572
0.0251256 1.82427 0.00206203
0.0251256 1.77406 0.00197519
0.0251256 1.72385 0.00191906
0.0251256 1.67364 0.00202793
0.0251256 1.62343 0.00211052
0.0251256 1.57322 0.00211398
0.0251256 1.52301 0.00197373
0.0251256 1.4728 0.00216471
0.0251256 1.42259 0.00241994
0.0251256 1.37238 0.00236964
0.0251256 1.32218 0.002474
0.0251256 1.27197 0.00270951
0.0251256 1.22176 0.00269723
0.0251256 1.17155 0.00306568
0.0251256 1.12134 0.00364716
0.0251256 1.07113 0.00421996
0.0251256 1.02092 0.00424616
0.0251256 0.970711 0.00470847
0.0251256 0.920502 0.00572275
0.0251256 0.870293 0.00642148
0.0251256 0.820084 0.00696713
0.0251256 0.769874 0.00840845
0.0251256 0.719665 0.0101078
0.0251256 0.669456 0.0112402
0.0251256 0.619247 0.013633
0.0251256 0.569038 0.0177529
0.0251256 0.518828 0.0236841
0.0251256 0.468619 0.0350643
0.0251256 0.41841 0.0604841
0.0251256 0.368201 0.124208
0.0251256 0.317992 0.267395
0.0251256 0.267782 0.24494
0.0251256 0.217573 0.159829
0.0251256 0.167364 0.224623
0.0251256 0.117155 0.29879
0.0251256 0.0669456 0.162111
0.0251256 0.0167364 0.0971465
0.0251256 -0.0334728 0.101528
0.0251256 -0.083682 0.199859
0.0251256 -0.133891 0.302649
0.0251256 -0.1841 0.158578
0.0251256 -0.23431 0.082762
0.0251256 -0.284519 0.0648569
0.0251256 -0.334728 0.0766059
0.0251256 -0.384937 0.135801
0.0251256 -0.435146 0.275963
0.0251256 -0.485356 0.232827
0.0251256 -0.535565 0.106364
0.0251256 -0.585774 0.0648517
0.0251256 -0.635983 0.0570822
0.0251256 -0.686192 0.072148
0.0251256 -0.736402 0.125669
0.0251256 -0.786611 0.263964
0.0251256 -0.83682 0.25404
0.0251256 -0.887029 0.120199
0.0251256 -0.937238 0.0744765
0.0251256 -0.987448 0.0704657
0.0251256 -1.03766 0.102149
0.0251256 -1.08787 0.20151
0.0251256 -1.13808 0.30653
0.0251256 -1.18828 0.179153
0.0251256 -1.23849 0.103705
0.0251256 -1.2887 0.101191
0.0251256 -1.33891 0.167198
0.0251256 -1.38912 0.283013
0.0251256 -1.43933 0.219827
0.0251256 -1.48954 0.175746
0.0251256 -1.53975 0.251661
0.0251256 -1.58996 0.244275
0.0251256 -1.64017 0.124359
0.0251256 -1.69038 0.060779
0.0251256 -1.74059 0.033545
0.0251256 -1.79079 0.021421
0.0251256 -1.841 0.0151162
0.0251256 -1.89121 0.0112913
0.0251256 -1.94142 0.00830221
0.0251256 -1.99163 0.00625413
0.0251256 -2.04184 0.00558095
0.0251256 -2.09205 0.00479461
0.0251256 -2.14226 0.00372126
0.0251256 -2.19247 0.00338322
0.0251256 -2.24268 0.00312285
0.0251256 -2.29289 0.0024128
0.0251256 -2.3431 0.00178601
0.0251256 -2.39331 0.00153497
0.0251256 -2.44351 0.0017611
0.0251256 -2.49372 0.00183492
0.0251256 -2.54393 0.00139448
0.0251256 -2.59414 0.00123343
0.0251256 -2.64435 0.00107331
0.0251256 -2.69456 0.000676041
0.0251256 -2.74477 0.000950265
0.0251256 -2.79498 0.000961851
0.0251256 -2.84519 0.000596788
0.0251256 -2.8954 0.000549334
0.0251256 -2.94561 0.00052209
0.0251256 -2.99582 0.000386176
0.0251256 -3.04603 0.000240677
0.0251256 -3.09623 0.000165715
0.0251256 -3.14644 0.000352734
0.0251256 -3.19665 0.000475874
0.0251256 -3.24686 0.000356445
0.0251256 -3.29707 0.00032423
0.0251256 -3.34728 0.000476481
0.0251256 -3.39749 0.000488818
0.0251256 -3.4477 0.000416267
0.0251256 -3.49791 0.000529727
0.0251256 -3.54812 0.000631079
0.0251256 -3.59833 0.000674091
0.0251256 -3.64854 0.000677418
0.0251256 -3.69874 0.000666861
0.0251256 -3.74895 0.000650529
0.0251256 -3.79916 0.00063407
0.0251256 -3.84937 0.000616959
0.0251256 -3.89958 0.000598707
0.0251256 -3.94979 0.000580909
0.0251256 -4 0.000563256
0.0251256 -4.05021 0.000546061
0.0251256 -4.10042 0.000530341
0.0251256 -4.15063 0.000514996
0.0251256 -4.20084 0.000499869
0.0251256 -4.25105 0.000486067
0.0251256 -4.30126 0.000472668
0.0251256 -4.35146 0.000459055
0.0251256 -4.40167 0.000446375
0.0251256 -4.45188 0.000434759
0.0251256 -4.50209 0.000423257
0.0251256 -4.5523 0.000412228
0.0251256 -4.60251 0.000401764
0.0251256 -4.65272 0.000391414
0.0251256 -4.70293 0.000381606
0.0251256 -4.75314 0.000372084
0.0251256 -4.80335 0.00036263
0.0251256 -4.85356 0.00035275
0.0251256 -4.90377 0.000343474
0.0251256 -4.95397 0.000335222
0.0251256 -5.00418 0.000327245
0.0251256 -5.05439 0.000319646
0.0251256 -5.1046 0.000312281
0.0251256 -5.15481 0.000305119
0.0251256 -5.20502 0.000298196
0.0251256 -5.25523 0.000291497
0.0251256 -5.30544 0.00028503
0.0251256 -5.35565 0.000278762
0.0251256 -5.40586 0.000272684
0.0251256 -5.45607 0.00026682
0.0251256 -5.50628 0.000261151
0.0251256 -5.55649 0.00025566
0.0251256 -5.60669 0.000250335
0.0251256 -5.6569 0.000245173
0.0251256 -5.70711 0.00024017
0.0251256 -5.75732 0.000235319
0.0251256 -5.80753 0.000230614
0.0251256 -5.85774 0.00022605
0.0251256 -5.90795 0.000221621
0.0251256 -5.95816 0.000217322
0.0251256 -6.00837 0.000213148
0.0251256 -6.05858 0.000209094
0.0251256 -6.10879 0.000205156
0.0251256 -6.159 0.000201329
0.0251256 -6.20921 0.000197609
0.0251256 -6.25941 0.000193992
0.0251256 -6.30962 0.000190474
0.0251256 -6.35983 0.000187052
0.0251256 -6.41004 0.000183722
0.0251256 -6.46025 0.000180481
0.0251256 -6.51046 0.000177326
0.0251256 -6.56067 0.000174254
0.0251256 -6.61088 0.000171261
0.0251256 -6.66109 0.000168346
0.0251256 -6.7113 0.000165504
0.0251256 -6.76151 0.000162735
0.0251256 -6.81172 0.000160036
0.0251256 -6.86192 0.000157403
0.0251256 -6.91213 0.000154835
0.0251256 -6.96234 0.000152331
0.0251256 -7.01255 0.000149887
0.0251256 -7.06276 0.000147502
0.0251256 -7.11297 0.000145173
0.0251256 -7.16318 0.0001429
0.0251256 -7.21339 0.00014068
0.0251256 -7.2636 0.000138299
