# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the parallel spin configurations
# U/W, omega-Ef, DOS(omega)

0.0125628 -7.96653 0.000112791
0.0125628 -8.01674 0.000111242
0.0125628 -8.06695 0.000109726
0.0125628 -8.11715 0.00010824
0.0125628 -8.16736 0.000106784
0.0125628 -8.21757 0.000105358
0.0125628 -8.26778 0.00010396
0.0125628 -8.31799 0.000102591
0.0125628 -8.3682 0.000101248
0.0125628 -8.41841 9.99313e-05
0.0125628 -8.46862 9.86405e-05
0.0125628 -8.51883 9.73747e-05
0.0125628 -8.56904 9.61332e-05
0.0125628 -8.61925 9.49154e-05
0.0125628 -8.66946 9.37208e-05
0.0125628 -8.71967 9.25487e-05
0.0125628 -8.76987 9.13985e-05
0.0125628 -8.82008 9.02698e-05
0.0125628 -8.87029 8.9162e-05
0.0125628 -8.9205 8.80745e-05
0.0125628 -8.97071 8.70069e-05
0.0125628 -9.02092 8.59587e-05
0.0125628 -9.07113 8.49294e-05
0.0125628 -9.12134 8.39186e-05
0.0125628 -9.17155 8.28278e-05
0.0125628 -9.22176 8.17576e-05
0.0125628 -9.27197 8.0803e-05
0.0125628 -9.32218 7.98651e-05
0.0125628 -9.37238 7.89435e-05
0.0125628 -9.42259 7.80378e-05
0.0125628 -9.4728 7.71477e-05
0.0125628 -9.52301 7.62728e-05
0.0125628 -9.57322 7.54128e-05
0.0125628 -9.62343 7.45673e-05
0.0125628 -9.67364 7.3736e-05
0.0125628 -9.72385 7.29186e-05
0.0125628 -9.77406 7.21147e-05
0.0125628 -9.82427 7.13242e-05
0.0125628 -9.87448 7.05466e-05
0.0125628 -9.92469 6.97817e-05
0.0125628 -9.9749 6.90292e-05
0 x y
0 IsoCurve 198,
0  
0.0251256 1.9749 0.00176151
0.0251256 1.92469 0.00170267
0.0251256 1.87448 0.00208405
0.0251256 1.82427 0.00237104
0.0251256 1.77406 0.00222833
0.0251256 1.72385 0.00235599
0.0251256 1.67364 0.00253463
0.0251256 1.62343 0.00248089
0.0251256 1.57322 0.00256582
0.0251256 1.52301 0.00261289
0.0251256 1.4728 0.00275766
0.0251256 1.42259 0.00338576
0.0251256 1.37238 0.003586
0.0251256 1.32218 0.00344149
0.0251256 1.27197 0.00390714
0.0251256 1.22176 0.00435853
0.0251256 1.17155 0.00412723
0.0251256 1.12134 0.00451471
0.0251256 1.07113 0.00551463
0.0251256 1.02092 0.00562174
0.0251256 0.970711 0.005754
0.0251256 0.920502 0.00676143
0.0251256 0.870293 0.00717136
0.0251256 0.820084 0.00775974
0.0251256 0.769874 0.00961617
0.0251256 0.719665 0.0111905
0.0251256 0.669456 0.0121985
0.0251256 0.619247 0.0150771
0.0251256 0.569038 0.0194712
0.0251256 0.518828 0.025045
0.0251256 0.468619 0.0368379
0.0251256 0.41841 0.0634285
0.0251256 0.368201 0.127843
0.0251256 0.317992 0.273342
0.0251256 0.267782 0.250261
0.0251256 0.217573 0.163436
0.0251256 0.167364 0.229751
0.0251256 0.117155 0.305614
0.0251256 0.0669456 0.165901
0.0251256 0.0167364 0.099533
0.0251256 -0.0334728 0.104122
0.0251256 -0.083682 0.204988
0.0251256 -0.133891 0.310435
0.0251256 -0.1841 0.162881
0.0251256 -0.23431 0.0853718
0.0251256 -0.284519 0.0674208
0.0251256 -0.334728 0.0804531
0.0251256 -0.384937 0.143709
0.0251256 -0.435146 0.289572
0.0251256 -0.485356 0.243442
0.0251256 -0.535565 0.112113
0.0251256 -0.585774 0.0701774
0.0251256 -0.635983 0.0658251
0.0251256 -0.686192 0.0936694
0.0251256 -0.736402 0.170192
0.0251256 -0.786611 0.260549
0.0251256 -0.83682 0.218774
0.0251256 -0.887029 0.107851
0.0251256 -0.937238 0.072059
0.0251256 -0.987448 0.0746257
0.0251256 -1.03766 0.117436
0.0251256 -1.08787 0.211008
0.0251256 -1.13808 0.281611
0.0251256 -1.18828 0.165401
0.0251256 -1.23849 0.101529
0.0251256 -1.2887 0.105089
0.0251256 -1.33891 0.179689
0.0251256 -1.38912 0.273865
0.0251256 -1.43933 0.204485
0.0251256 -1.48954 0.178933
0.0251256 -1.53975 0.260215
0.0251256 -1.58996 0.227916
0.0251256 -1.64017 0.113977
0.0251256 -1.69038 0.0536294
0.0251256 -1.74059 0.0271839
0.0251256 -1.79079 0.0170206
0.0251256 -1.841 0.0116562
0.0251256 -1.89121 0.00815117
0.0251256 -1.94142 0.00597466
0.0251256 -1.99163 0.00387668
0.0251256 -2.04184 0.00252107
0.0251256 -2.09205 0.00243827
0.0251256 -2.14226 0.0018397
0.0251256 -2.19247 0.000920122
0.0251256 -2.24268 0.000462941
0.0251256 -2.29289 0.000258287
0.0251256 -2.3431 0.000223474
0.0251256 -2.39331 0.000141966
0.0251256 -2.44351 0.000353941
0.0251256 -2.49372 0.000203589
0.0251256 -2.54393 0.000184518
0.0251256 -2.59414 1.59965e-05
0.0251256 -2.64435 0.000294109
0.0251256 -2.69456 0.000190743
0.0251256 -2.74477 0.000306731
0.0251256 -2.79498 0.000291598
0.0251256 -2.84519 0.000147823
0.0251256 -2.8954 0.000162007
0.0251256 -2.94561 5.6986e-05
0.0251256 -2.99582 4.3815e-05
0.0251256 -3.04603 1.03563e-05
0.0251256 -3.09623 0.000116373
0.0251256 -3.14644 0.000185247
0.0251256 -3.19665 0.000373867
0.0251256 -3.24686 0.00025076
0.0251256 -3.29707 0.000246478
0.0251256 -3.34728 0.000435446
0.0251256 -3.39749 0.000469162
0.0251256 -3.4477 0.000394449
0.0251256 -3.49791 0.000500094
0.0251256 -3.54812 0.000605627
0.0251256 -3.59833 0.000659532
0.0251256 -3.64854 0.00066883
0.0251256 -3.69874 0.000662495
0.0251256 -3.74895 0.000650243
0.0251256 -3.79916 0.000633404
0.0251256 -3.84937 0.000615475
0.0251256 -3.89958 0.00059823
0.0251256 -3.94979 0.000580974
0.0251256 -4 0.000564368
0.0251256 -4.05021 0.00054828
0.0251256 -4.10042 0.000531963
0.0251256 -4.15063 0.000516441
0.0251256 -4.20084 0.000501843
0.0251256 -4.25105 0.00048709
0.0251256 -4.30126 0.000473014
0.0251256 -4.35146 0.0004602
0.0251256 -4.40167 0.000447496
0.0251256 -4.45188 0.000434751
0.0251256 -4.50209 0.000422833
0.0251256 -4.5523 0.000411341
0.0251256 -4.60251 0.000400172
0.0251256 -4.65272 0.0003897
0.0251256 -4.70293 0.000379486
0.0251256 -4.75314 0.000369735
0.0251256 -4.80335 0.000360628
0.0251256 -4.85356 0.000350896
0.0251256 -4.90377 0.000341328
0.0251256 -4.95397 0.000333106
0.0251256 -5.00418 0.000325195
0.0251256 -5.05439 0.000317471
0.0251256 -5.1046 0.000310049
0.0251256 -5.15481 0.000302933
0.0251256 -5.20502 0.000296066
0.0251256 -5.25523 0.00028944
0.0251256 -5.30544 0.000283029
0.0251256 -5.35565 0.000276845
0.0251256 -5.40586 0.000270879
0.0251256 -5.45607 0.000265089
0.0251256 -5.50628 0.000259478
0.0251256 -5.55649 0.000254047
0.0251256 -5.60669 0.000248792
0.0251256 -5.6569 0.000243703
0.0251256 -5.70711 0.00023877
0.0251256 -5.75732 0.000233988
0.0251256 -5.80753 0.00022935
0.0251256 -5.85774 0.000224849
0.0251256 -5.90795 0.000220481
0.0251256 -5.95816 0.00021624
0.0251256 -6.00837 0.000212121
0.0251256 -6.05858 0.00020812
0.0251256 -6.10879 0.000204232
0.0251256 -6.159 0.000200453
0.0251256 -6.20921 0.000196779
0.0251256 -6.25941 0.000193205
0.0251256 -6.30962 0.000189729
0.0251256 -6.35983 0.000186347
0.0251256 -6.41004 0.000183054
0.0251256 -6.46025 0.000179849
0.0251256 -6.51046 0.000176729
0.0251256 -6.56067 0.000173689
0.0251256 -6.61088 0.000170728
0.0251256 -6.66109 0.000167842
0.0251256 -6.7113 0.000165029
0.0251256 -6.76151 0.000162287
0.0251256 -6.81172 0.000159614
0.0251256 -6.86192 0.000157006
0.0251256 -6.91213 0.000154462
0.0251256 -6.96234 0.00015198
0.0251256 -7.01255 0.000149558
0.0251256 -7.06276 0.000147194
0.0251256 -7.11297 0.000144886
0.0251256 -7.16318 0.000142631
0.0251256 -7.21339 0.00014043
0.0251256 -7.2636 0.000138068
0.0251256 -7.31381 0.000135764
0.0251256 -7.36402 0.00013372
0.0251256 -7.41423 0.000131722
0.0251256 -7.46444 0.000129769
0.0251256 -7.51464 0.000127859
0.0251256 -7.56485 0.000125991
0.0251256 -7.61506 0.000124165
0.0251256 -7.66527 0.000122378
0.0251256 -7.71548 0.000120629
0.0251256 -7.76569 0.000118918
0.0251256 -7.8159 0.000117243
0.0251256 -7.86611 0.000115604
0.0251256 -7.91632 0.000113999
0.0251256 -7.96653 0.000112427
0.0251256 -8.01674 0.000110888
0.0251256 -8.06695 0.000109381
0.0251256 -8.11715 0.000107904
0.0251256 -8.16736 0.000106457
0.0251256 -8.21757 0.000105039
0.0251256 -8.26778 0.000103649
0.0251256 -8.31799 0.000102287
0.0251256 -8.3682 0.000100952
0.0251256 -8.41841 9.9643e-05
0.0251256 -8.46862 9.83594e-05
0.0251256 -8.51883 9.71005e-05
0.0251256 -8.56904 9.58657e-05
0.0251256 -8.61925 9.46545e-05
0.0251256 -8.66946 9.34662e-05
0.0251256 -8.71967 9.23003e-05
0.0251256 -8.76987 9.11561e-05
0.0251256 -8.82008 9.00332e-05
0.0251256 -8.87029 8.8931e-05
0.0251256 -8.9205 8.78491e-05
0.0251256 -8.97071 8.67868e-05
0.0251256 -9.02092 8.57438e-05
0.0251256 -9.07113 8.47196e-05
0.0251256 -9.12134 8.37137e-05
0.0251256 -9.17155 8.27257e-05
0.0251256 -9.22176 8.17552e-05
0.0251256 -9.27197 8.08017e-05
0.0251256 -9.32218 7.98649e-05
0.0251256 -9.37238 7.89444e-05
0.0251256 -9.42259 7.80397e-05
0.0251256 -9.4728 7.71506e-05
0.0251256 -9.52301 7.62766e-05
0.0251256 -9.57322 7.54175e-05
0.0251256 -9.62343 7.45729e-05
0.0251256 -9.67364 7.36604e-05
0.0251256 -9.72385 7.27642e-05
0.0251256 -9.77406 7.19638e-05
0.0251256 -9.82427 7.11766e-05
0.0251256 -9.87448 7.04023e-05
0.0251256 -9.92469 6.96407e-05
0.0251256 -9.9749 6.88913e-05
0 x y
0 IsoCurve 197,
0  
0.0376884 1.9749 0.00197191
0.0376884 1.92469 0.00181184
0.0376884 1.87448 0.00217168
