# normalized string order
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U, string order

0.25 6.95 -2.67153e-06
0.266667 6.95 2.67153e-06
0.283333 6.95 2.67153e-06
0.3 6.95 1.06861e-05
0.316667 6.95 2.67153e-06
0.333333 6.95 5.34306e-06
0.35 6.95 2.67153e-06
0.366667 6.95 -2.67153e-06
0.383333 6.95 3.47299e-05
0.4 6.95 -2.67153e-06
0.416667 6.95 0.000117547
0.433333 6.95 6.67883e-05
0.45 6.95 -1.33577e-05
0.466667 6.95 -2.13723e-05
0.483333 6.95 -1.87007e-05
0.5 6.95 -2.67153e-06
0 0 0
0 8.45 0.981721
0.0166667 8.45 0.546051
0.0333333 8.45 0.327025
0.05 8.45 0.883885
0.0666667 8.45 0.652412
0.0833333 8.45 0.194634
0.1 8.45 0.796413
0.116667 8.45 0.021244
0.133333 8.45 0.00010419
0.15 8.45 0.000106861
0.166667 8.45 -2.67153e-06
0.183333 8.45 2.67153e-06
0.2 8.45 -2.67153e-06
0.216667 8.45 2.67153e-06
0.233333 8.45 -5.34306e-06
0.25 8.45 -2.67153e-06
0.266667 8.45 -2.67153e-06
0.283333 8.45 -2.67153e-06
0.3 8.45 8.0146e-06
0.316667 8.45 2.67153e-06
0.333333 8.45 8.0146e-06
0.35 8.45 5.34306e-06
0.366667 8.45 -5.34306e-06
0.383333 8.45 8.0146e-06
0.4 8.45 1.60292e-05
0.416667 8.45 8.28175e-05
0.433333 8.45 8.0146e-06
0.45 8.45 -2.40438e-05
0.466667 8.45 -2.67153e-05
0.483333 8.45 -2.40438e-05
0.5 8.45 -2.67153e-06
0 0 0
0 10.25 0.984882
0.0166667 10.25 0.492409
0.0333333 10.25 0.665489
0.05 10.25 0.895663
0.0666667 10.25 0.0061472
0.0833333 10.25 0.000833518
0.1 10.25 0.0021025
0.116667 10.25 -2.67153e-06
0.133333 10.25 5.34306e-06
0.15 10.25 -2.67153e-06
0.166667 10.25 -2.67153e-06
0.183333 10.25 2.67153e-06
0.2 10.25 -2.67153e-06
0.216667 10.25 2.67153e-06
0.233333 10.25 2.67153e-06
0.25 10.25 -2.67153e-06
0.266667 10.25 2.67153e-06
0.283333 10.25 2.67153e-06
0.3 10.25 2.67153e-06
0.316667 10.25 2.67153e-06
0.333333 10.25 2.67153e-06
0.35 10.25 2.67153e-06
0.366667 10.25 -2.67153e-06
0.383333 10.25 5.34306e-06
0.4 10.25 -2.67153e-06
0.416667 10.25 6.14452e-05
0.433333 10.25 -1.06861e-05
0.45 10.25 -1.33577e-05
0.466667 10.25 -5.34306e-06
0.483333 10.25 -3.20584e-05
0.5 10.25 -1.33577e-05
0 0 0
0 12.5 0.987088
0.0166667 12.5 0.534432
0.0333333 12.5 0.81419
0.05 12.5 0.000141591
0.0666667 12.5 0.000374015
0.0833333 12.5 -1.06861e-05
0.1 12.5 -2.67153e-06
0.116667 12.5 -2.67153e-06
0.133333 12.5 2.67153e-06
0.15 12.5 -2.67153e-06
0.166667 12.5 -2.67153e-06
0.183333 12.5 2.67153e-06
0.2 12.5 -2.67153e-06
0.216667 12.5 2.67153e-06
0.233333 12.5 -2.67153e-06
0.25 12.5 2.67153e-06
0.266667 12.5 2.67153e-06
0.283333 12.5 -2.67153e-06
0.3 12.5 2.67153e-06
0.316667 12.5 -2.67153e-06
0.333333 12.5 2.67153e-06
0.35 12.5 2.67153e-06
0.366667 12.5 2.67153e-06
0.383333 12.5 4.27445e-05
0.4 12.5 1.33577e-05
0.416667 12.5 5.61022e-05
0.433333 12.5 2.40438e-05
0.45 12.5 -5.34306e-06
0.466667 12.5 -2.67153e-06
0.483333 12.5 -6.94598e-05
0.5 12.5 -5.34306e-06
