# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, A(k,omega)

0.005 2.68 0.00116211
0.005 2.72 0.00101296
0.005 2.76 0.000904665
0.005 2.8 0.000830272
0.005 2.84 0.000762997
0.005 2.88 0.000710291
0.005 2.92 0.000626078
0.005 2.96 0.000577908
0.005 3 0.000524181
0.005 3.04 0.00046087
0.005 3.08 0.00042103
0.005 3.12 0.000382719
0.005 3.16 0.000355263
0.005 3.2 0.000357433
0.005 3.24 0.000339326
0.005 3.28 0.000313515
0.005 3.32 0.000293811
0.005 3.36 0.00027195
0.005 3.4 0.000255131
0.005 3.44 0.000214834
0.005 3.48 0.000210675
0.005 3.52 0.00019549
0.005 3.56 0.000183869
0.005 3.6 0.000186129
0.005 3.64 0.000175556
0.005 3.68 0.000174849
0.005 3.72 0.000176636
0.005 3.76 0.000169488
0.005 3.8 0.000177646
0.005 3.84 0.000151683
0.005 3.88 0.000138174
0.005 3.92 0.000140165
0.005 3.96 0.000161111
0.005 4 0.000163735
0.01 -3 8.39768e-05
0.01 -2.96 0.00015065
0.01 -2.92 0.00014203
0.01 -2.88 0.000138558
0.01 -2.84 0.000172278
0.01 -2.8 0.000202896
0.01 -2.76 0.000179855
0.01 -2.72 0.000253499
0.01 -2.68 0.000173089
0.01 -2.64 0.000205799
0.01 -2.6 0.000214785
0.01 -2.56 0.000332371
0.01 -2.52 0.000377141
0.01 -2.48 0.000406855
0.01 -2.44 0.000552274
0.01 -2.4 0.000637766
0.01 -2.36 0.000651209
0.01 -2.32 0.000720734
0.01 -2.28 0.000652852
0.01 -2.24 0.00100847
0.01 -2.2 0.00103195
0.01 -2.16 0.00107322
0.01 -2.12 0.000865435
0.01 -2.08 0.0003382
0.01 -2.04 0.000478781
0.01 -2 0.00155484
0.01 -1.96 0.00162865
0.01 -1.92 0.000613321
0.01 -1.88 0.000670645
0.01 -1.84 0.00249004
0.01 -1.8 0.00204086
0.01 -1.76 0.000892185
0.01 -1.72 3.338e-05
0.01 -1.68 0.0011097
0.01 -1.64 0.00166436
0.01 -1.6 0.000180925
0.01 -1.56 0.00186936
0.01 -1.52 0.00191438
0.01 -1.48 0.00127074
0.01 -1.44 0.00146832
0.01 -1.4 0.00150782
0.01 -1.36 0.00216017
0.01 -1.32 0.00102605
0.01 -1.28 0.00210722
0.01 -1.24 0.00195905
0.01 -1.2 0.00138432
0.01 -1.16 0.00195545
0.01 -1.12 0.00250104
0.01 -1.08 0.00157942
0.01 -1.04 0.00203861
0.01 -1 0.0023645
0.01 -0.96 0.0024976
0.01 -0.92 0.00224794
0.01 -0.88 0.0028718
0.01 -0.84 0.00291365
0.01 -0.8 0.00267758
0.01 -0.76 0.00275477
0.01 -0.72 0.00270984
0.01 -0.68 0.00311312
0.01 -0.64 0.00327959
0.01 -0.6 0.00348451
0.01 -0.56 0.00343463
0.01 -0.52 0.00356109
0.01 -0.48 0.00390085
0.01 -0.44 0.00411412
0.01 -0.4 0.00416225
0.01 -0.36 0.00464859
0.01 -0.32 0.00494133
0.01 -0.28 0.00527312
0.01 -0.24 0.00583295
0.01 -0.2 0.00616588
0.01 -0.16 0.00546337
0.01 -0.12 0.00390541
0.01 -0.08 0.00263364
0.01 -0.04 0.00171881
0.01 0 0.0012461
0.01 0.04 0.00109048
0.01 0.08 0.000812313
0.01 0.12 0.000607721
0.01 0.16 0.000662122
0.01 0.2 0.00055002
0.01 0.24 0.000386928
0.01 0.28 0.00050085
0.01 0.32 0.000461617
0.01 0.36 0.000311418
0.01 0.4 0.000414423
0.01 0.44 0.000473221
0.01 0.48 0.000310366
0.01 0.52 0.000353835
0.01 0.56 0.000471716
0.01 0.6 0.000263893
0.01 0.64 0.000490301
0.01 0.68 0.000288026
0.01 0.72 0.000208538
0.01 0.76 0.000384073
0.01 0.8 0.000617996
0.01 0.84 0.000514577
0.01 0.88 0.000504684
0.01 0.92 0.000555427
0.01 0.96 0.000217715
0.01 1 0.000644856
0.01 1.04 8.10979e-05
0.01 1.08 0.00030486
0.01 1.12 0.000895256
0.01 1.16 0.000284749
0.01 1.2 0.000794869
0.01 1.24 0.000522191
0.01 1.28 0.00153259
0.01 1.32 0.00149304
0.01 1.36 0.000840245
0.01 1.4 0.000513208
0.01 1.44 0.00239839
0.01 1.48 0.00119261
0.01 1.52 0.000643765
0.01 1.56 0.00251218
0.01 1.6 0.0017682
0.01 1.64 0.00350711
0.01 1.68 0.00449975
0.01 1.72 0.0052415
0.01 1.76 0.00694466
0.01 1.8 0.00884452
0.01 1.84 0.0146075
0.01 1.88 0.0228135
0.01 1.92 0.0368492
0.01 1.96 0.0633735
0.01 2 0.0761394
0.01 2.04 0.0617269
0.01 2.08 0.0398514
0.01 2.12 0.0245632
0.01 2.16 0.0162248
0.01 2.2 0.0114688
0.01 2.24 0.00850823
0.01 2.28 0.00657081
0.01 2.32 0.00523925
0.01 2.36 0.00422252
0.01 2.4 0.00345418
0.01 2.44 0.00281111
0.01 2.48 0.00235387
0.01 2.52 0.0020215
0.01 2.56 0.00176145
0.01 2.6 0.00151972
0.01 2.64 0.00133354
0.01 2.68 0.00115453
