# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, A(k,omega)

0.005 -0.16 0.00508003
0.005 -0.12 0.00403767
0.005 -0.08 0.00277733
0.005 -0.04 0.00191947
0.005 0 0.0014286
0.005 0.04 0.00114236
0.005 0.08 0.00096237
0.005 0.12 0.000846243
0.005 0.16 0.000774378
0.005 0.2 0.000726371
0.005 0.24 0.000696938
0.005 0.28 0.00068284
0.005 0.32 0.00067319
0.005 0.36 0.000679282
0.005 0.4 0.000682792
0.005 0.44 0.000700887
0.005 0.48 0.000778194
0.005 0.52 0.000842353
0.005 0.56 0.000834358
0.005 0.6 0.00101591
0.005 0.64 0.00101919
0.005 0.68 0.00110738
0.005 0.72 0.00125948
0.005 0.76 0.00153487
0.005 0.8 0.00171375
0.005 0.84 0.00161753
0.005 0.88 0.00221213
0.005 0.92 0.00239415
0.005 0.96 0.00280912
0.005 1 0.00276947
0.005 1.04 0.00380626
0.005 1.08 0.00456945
0.005 1.12 0.00722022
0.005 1.16 0.0101643
0.005 1.2 0.0117385
0.005 1.24 0.0143916
0.005 1.28 0.0257299
0.005 1.32 0.0458177
0.005 1.36 0.0713533
0.005 1.4 0.0752692
0.005 1.44 0.0534546
0.005 1.48 0.0328282
0.005 1.52 0.0206546
0.005 1.56 0.0138656
0.005 1.6 0.0099699
0.005 1.64 0.00747871
0.005 1.68 0.00582687
0.005 1.72 0.00465259
0.005 1.76 0.00376879
0.005 1.8 0.00311796
0.005 1.84 0.00262858
0.005 1.88 0.00224256
0.005 1.92 0.0018952
0.005 1.96 0.00164521
0.005 2 0.00143032
0.005 2.04 0.00126745
0.005 2.08 0.0011357
0.005 2.12 0.0010474
0.005 2.16 0.000936989
0.005 2.2 0.00083224
0.005 2.24 0.000713022
0.005 2.28 0.000663412
0.005 2.32 0.000611024
0.005 2.36 0.000574401
0.005 2.4 0.00054811
0.005 2.44 0.000503795
0.005 2.48 0.000457956
0.005 2.52 0.00041142
0.005 2.56 0.000385747
0.005 2.6 0.000349729
0.005 2.64 0.000328978
0.005 2.68 0.000310675
0.005 2.72 0.000308388
0.005 2.76 0.000311256
0.005 2.8 0.000293889
0.005 2.84 0.000258453
0.005 2.88 0.000247963
0.005 2.92 0.000235166
0.005 2.96 0.000240299
0.005 3 0.000222099
0.005 3.04 0.000214314
0.005 3.08 0.000209216
0.005 3.12 0.000205547
0.005 3.16 0.000208988
0.005 3.2 0.000180026
0.005 3.24 0.000189559
0.005 3.28 0.000170007
0.005 3.32 0.000178983
0.005 3.36 0.000167961
0.005 3.4 0.000160011
0.005 3.44 0.000162015
0.005 3.48 0.00016151
0.005 3.52 0.000143668
0.005 3.56 0.000137083
0.005 3.6 0.00014672
0.005 3.64 0.000153745
0.005 3.68 0.000152328
0.005 3.72 0.000138309
0.005 3.76 0.000144748
0.005 3.8 0.000138247
0.005 3.84 0.000150237
0.005 3.88 0.000159795
0.005 3.92 0.000165181
0.005 3.96 0.000179144
0.005 4 0.000179332
0.01 -5 2.31477e-05
0.01 -4.96 5.39121e-05
0.01 -4.92 0.000100257
0.01 -4.88 0.000109871
0.01 -4.84 0.00011525
0.01 -4.8 1.48854e-05
0.01 -4.76 0.000114063
0.01 -4.72 3.82207e-06
0.01 -4.68 0.000131749
0.01 -4.64 7.36649e-05
0.01 -4.6 0.000125152
0.01 -4.56 8.90925e-05
0.01 -4.52 7.35208e-05
0.01 -4.48 9.46991e-05
0.01 -4.44 4.79202e-05
0.01 -4.4 4.46735e-05
0.01 -4.36 0.000122816
0.01 -4.32 0.00011799
0.01 -4.28 4.4416e-05
0.01 -4.24 0.000123092
0.01 -4.2 3.09272e-05
0.01 -4.16 0.000106365
0.01 -4.12 7.6491e-05
0.01 -4.08 0.000101735
0.01 -4.04 0.0001473
0.01 -4 0.000124924
0.01 -3.96 0.000203323
0.01 -3.92 0.000142748
0.01 -3.88 0.000110201
0.01 -3.84 0.000111492
0.01 -3.8 9.11018e-05
0.01 -3.76 0.000246067
0.01 -3.72 0.000238973
0.01 -3.68 0.000188201
0.01 -3.64 0.000145075
0.01 -3.6 0.000169588
0.01 -3.56 0.000209066
0.01 -3.52 0.000171698
0.01 -3.48 0.000220155
0.01 -3.44 0.000183006
0.01 -3.4 0.000197829
0.01 -3.36 0.000145312
0.01 -3.32 0.000138803
0.01 -3.28 0.00029992
0.01 -3.24 0.000281573
0.01 -3.2 0.000253828
0.01 -3.16 0.000326987
0.01 -3.12 0.000266653
0.01 -3.08 0.00037556
0.01 -3.04 0.00048727
0.01 -3 0.000527914
0.01 -2.96 0.000620722
0.01 -2.92 0.000520317
0.01 -2.88 0.000602198
0.01 -2.84 0.000888179
0.01 -2.8 0.000941533
0.01 -2.76 0.00120072
0.01 -2.72 0.00117978
0.01 -2.68 0.000863963
0.01 -2.64 0.000393026
0.01 -2.6 0.000542733
0.01 -2.56 0.00303438
0.01 -2.52 0.00276306
0.01 -2.48 0.00131163
0.01 -2.44 0.000506215
0.01 -2.4 0.00167171
0.01 -2.36 0.00369692
0.01 -2.32 0.00087459
0.01 -2.28 0.000355116
0.01 -2.24 0.00224855
0.01 -2.2 0.00250313
0.01 -2.16 0.000576738
0.01 -2.12 0.00225567
0.01 -2.08 0.000108411
0.01 -2.04 0.00142037
0.01 -2 0.00225777
0.01 -1.96 0.00208227
0.01 -1.92 0.00134187
0.01 -1.88 0.000551321
0.01 -1.84 0.000805641
0.01 -1.8 0.0019572
0.01 -1.76 0.00240238
0.01 -1.72 0.00221202
0.01 -1.68 0.00252847
0.01 -1.64 0.00168009
0.01 -1.6 0.00150754
0.01 -1.56 0.0020169
0.01 -1.52 0.00131436
0.01 -1.48 0.00176723
0.01 -1.44 0.000704122
0.01 -1.4 0.00222908
0.01 -1.36 0.00211184
0.01 -1.32 0.00241422
0.01 -1.28 0.00161738
0.01 -1.24 0.00247336
0.01 -1.2 0.00223903
0.01 -1.16 0.00265511
0.01 -1.12 0.00241948
0.01 -1.08 0.00208041
0.01 -1.04 0.00184899
0.01 -1 0.00256169
0.01 -0.96 0.00308763
0.01 -0.92 0.0026856
0.01 -0.88 0.0028931
0.01 -0.84 0.00306113
0.01 -0.8 0.00256425
0.01 -0.76 0.0031776
0.01 -0.72 0.00314601
0.01 -0.68 0.0031994
0.01 -0.64 0.00358195
0.01 -0.6 0.00342693
0.01 -0.56 0.00371104
0.01 -0.52 0.00355615
0.01 -0.48 0.00409022
0.01 -0.44 0.00401899
0.01 -0.4 0.00412279
0.01 -0.36 0.00440333
0.01 -0.32 0.00466317
0.01 -0.28 0.00480352
0.01 -0.24 0.00502122
0.01 -0.2 0.00532116
0.01 -0.16 0.00501025
0.01 -0.12 0.00399089
0.01 -0.08 0.00287794
0.01 -0.04 0.00188265
0.01 0 0.00136987
0.01 0.04 0.00125443
0.01 0.08 0.000931748
0.01 0.12 0.000773276
0.01 0.16 0.000876223
0.01 0.2 0.000677011
0.01 0.24 0.000636471
0.01 0.28 0.000770432
0.01 0.32 0.000581453
0.01 0.36 0.000730405
0.01 0.4 0.000766877
0.01 0.44 0.000648621
0.01 0.48 0.000706286
0.01 0.52 0.000755377
0.01 0.56 0.00083453
0.01 0.6 0.00106924
0.01 0.64 0.000938607
0.01 0.68 0.00114921
0.01 0.72 0.00139911
0.01 0.76 0.00157938
0.01 0.8 0.00195691
0.01 0.84 0.00188498
0.01 0.88 0.00192917
0.01 0.92 0.00229266
0.01 0.96 0.0026521
0.01 1 0.0028741
0.01 1.04 0.00390662
0.01 1.08 0.00487569
0.01 1.12 0.00738985
0.01 1.16 0.00945405
0.01 1.2 0.0118293
0.01 1.24 0.0148039
0.01 1.28 0.0260746
0.01 1.32 0.0464239
0.01 1.36 0.0716418
0.01 1.4 0.0750144
0.01 1.44 0.0530293
0.01 1.48 0.0325505
0.01 1.52 0.0204951
0.01 1.56 0.0137732
0.01 1.6 0.00991555
0.01 1.64 0.00743402
0.01 1.68 0.0057905
0.01 1.72 0.00462331
0.01 1.76 0.00375954
0.01 1.8 0.00310813
0.01 1.84 0.00262337
0.01 1.88 0.00223703
0.01 1.92 0.0018917
0.01 1.96 0.00163251
0.01 2 0.00142683
0.01 2.04 0.00125914
0.01 2.08 0.00113776
0.01 2.12 0.00103
0.01 2.16 0.000931278
0.01 2.2 0.000828586
0.01 2.24 0.000703344
0.01 2.28 0.000664949
0.01 2.32 0.000619214
0.01 2.36 0.000572585
0.01 2.4 0.000538076
0.01 2.44 0.000498023
0.01 2.48 0.000443275
0.01 2.52 0.000412392
0.01 2.56 0.000382757
0.01 2.6 0.000352739
0.01 2.64 0.000325917
0.01 2.68 0.000302202
0.01 2.72 0.000316217
0.01 2.76 0.000314453
0.01 2.8 0.000292382
