# generlized Kondo-Heisenberg model
# U/W=1 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Single particle spectral function
# site, frequency, A(k,omega)
1 -0.93999999999999995 0.000212271
1 -0.93000000000000005 0.000283165
1 -0.92000000000000004 0.000417572
1 -0.91000000000000003 7.15506e-07
1 -0.90000000000000002 0.000431514
1 -0.89000000000000001 -0.000258508
1 -0.88000000000000000 0.000298725
1 -0.87000000000000000 -0.000497849
1 -0.85999999999999999 0.000224986
1 -0.84999999999999998 -0.000148351
1 -0.83999999999999997 1.89645e-05
1 -0.82999999999999996 0.000112879
1 -0.81999999999999995 0.000572494
1 -0.81000000000000005 -0.000214307
1 -0.80000000000000004 6.50189e-05
1 -0.79000000000000004 0.000713674
1 -0.78000000000000003 0.000905408
1 -0.77000000000000002 0.000748387
1 -0.76000000000000001 0.00129168
1 -0.75000000000000000 0.000709051
1 -0.73999999999999999 0.000930864
1 -0.72999999999999998 0.000161258
1 -0.71999999999999997 -0.000747022
1 -0.70999999999999996 0.000524489
1 -0.69999999999999996 0.000912803
1 -0.68999999999999995 0.00116507
1 -0.68000000000000005 0.000806605
1 -0.67000000000000004 0.00189487
1 -0.66000000000000003 0.000554868
1 -0.65000000000000002 0.00219861
1 -0.64000000000000001 0.00139217
1 -0.63000000000000000 0.00137424
1 -0.62000000000000000 0.0035191
1 -0.60999999999999999 0.00286973
1 -0.59999999999999998 0.0029638
1 -0.58999999999999997 0.00222729
1 -0.57999999999999996 0.001809
1 -0.56999999999999995 0.00232209
1 -0.56000000000000005 0.00340978
1 -0.55000000000000004 0.00210554
1 -0.54000000000000004 0.00319196
1 -0.53000000000000003 0.00241918
1 -0.52000000000000002 0.00193878
1 -0.51000000000000001 0.00235749
1 -0.50000000000000000 0.00152011
1 -0.48999999999999999 0.00188873
1 -0.47999999999999998 0.00241126
1 -0.46999999999999997 0.00119687
1 -0.46000000000000002 0.00187284
1 -0.45000000000000001 0.00131351
1 -0.44000000000000000 0.00255642
1 -0.42999999999999999 0.000808373
1 -0.41999999999999998 8.87383e-05
1 -0.40999999999999998 0.00101237
1 -0.40000000000000002 0.00195571
1 -0.39000000000000001 0.00239286
1 -0.38000000000000000 0.000490308
1 -0.37000000000000000 -2.29939e-05
1 -0.35999999999999999 0.000598909
1 -0.34999999999999998 0.00103498
1 -0.34000000000000002 0.000122459
1 -0.33000000000000002 5.04895e-05
1 -0.32000000000000001 0.000201407
1 -0.31000000000000000 0.000817817
1 -0.29999999999999999 0.000844773
1 -0.28999999999999998 0.000675296
1 -0.28000000000000003 0.000412216
1 -0.27000000000000002 0.000197151
1 -0.26000000000000001 0.000185961
1 -0.25000000000000000 0.000218526
1 -0.23999999999999999 0.000235925
1 -0.23000000000000001 0.000242568
1 -0.22000000000000000 0.000244669
1 -0.20999999999999999 0.000244884
1 -0.20000000000000001 0.000244406
1 -0.19000000000000000 0.000243895
1 -0.17999999999999999 0.000243572
1 -0.17000000000000001 0.000243592
1 -0.16000000000000000 0.000243773
1 -0.14999999999999999 0.000244389
1 -0.14000000000000001 0.000245182
1 -0.13000000000000000 0.000246273
1 -0.12000000000000000 0.000247577
1 -0.11000000000000000 0.000249196
1 -0.10000000000000001 0.000250911
1 -8.9999999999999997E-002 0.000252883
1 -8.0000000000000002E-002 0.00025505
1 -7.0000000000000007E-002 0.000257433
1 -5.9999999999999998E-002 0.000259914
1 -5.0000000000000003E-002 0.000262691
1 -4.0000000000000001E-002 0.000265584
1 -2.9999999999999999E-002 0.00026867
1 -2.0000000000000000E-002 0.000271941
1 -1.0000000000000000E-002 0.000275388
1 0.0000000000000000 0.000278948
1 1.0000000000000000E-002 0.000282747
1 2.0000000000000000E-002 0.000286745
1 2.9999999999999999E-002 0.000290837
1 4.0000000000000001E-002 0.000295256
1 5.0000000000000003E-002 0.000299796
1 5.9999999999999998E-002 0.000304589
1 7.0000000000000007E-002 0.000309537
1 8.0000000000000002E-002 0.000314815
1 8.9999999999999997E-002 0.00032026
1 0.10000000000000001 0.000325988
1 0.11000000000000000 0.000331968
1 0.12000000000000000 0.0003383
1 0.13000000000000000 0.000344904
1 0.14000000000000001 0.00035187
1 0.14999999999999999 0.000359184
1 0.16000000000000000 0.000366855
1 0.17000000000000001 0.000375001
1 0.17999999999999999 0.000383628
1 0.19000000000000000 0.000392676
1 0.20000000000000001 0.000402166
1 0.20999999999999999 0.000411911
1 0.22000000000000000 0.000421773
1 0.23000000000000001 0.000430654
1 0.23999999999999999 0.000436398
1 0.25000000000000000 0.000434583
1 0.26000000000000001 0.000424271
1 0.27000000000000002 0.00046489
1 0.28000000000000003 0.000742148
1 0.28999999999999998 0.0010094
1 0.29999999999999999 0.00128603
1 0.31000000000000000 0.00110965
