# generlized Kondo-Heisenberg model
# U/W=2 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states
# site, frequency, hole LDOS, electron LDOS
           1  -4.2000000000000003E-002  0.56706100000000004       0.23019500000000001     
           1  -4.0000000000000001E-002  0.59770699999999999       0.25030799999999997     
           1  -3.7999999999999999E-002  0.47897099999999998       0.27341100000000002     
           1  -3.5999999999999997E-002  0.52940900000000002       0.30013499999999999     
           1  -3.4000000000000002E-002  0.56564300000000001       0.33128600000000002     
           1  -3.2000000000000001E-002  0.64247500000000002       0.36792300000000000     
           1  -2.9999999999999999E-002  0.72204699999999999       0.41143500000000000     
           1  -2.8000000000000001E-002  0.92460799999999999       0.46366800000000002     
           1  -2.5999999999999999E-002   1.0069210000000000       0.52714600000000000     
           1  -2.4000000000000000E-002   1.1233430000000000       0.60538999999999998     
           1  -2.1999999999999999E-002   1.2411049999999999       0.70338100000000003     
           1  -2.0000000000000000E-002   1.5275540000000001       0.82843800000000001     
