# amplitude of the charge density oscillations
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4 x=0.1
# x, U/W, amplitude

0.3 2.135 0.0456929
0.316667 2.135 0.0414786
0.333333 2.135 0.0343822
0.35 2.135 0.0353269
0.366667 2.135 0.0349029
0.383333 2.135 0.0347242
0.4 2.135 0.033703
0.416667 2.135 0.0327949
0.433333 2.135 0.0307662
0.45 2.135 0.0285505
0.466667 2.135 0.0254772
0.483333 2.135 0.0202954
0.5 2.135 0.00774592
0 0 0
0 2.6 0
0.0166667 2.6 0.0218079
0.0333333 2.6 0.0448606
0.05 2.6 0.057146
0.0666667 2.6 0.0648225
0.0833333 2.6 0.068179
0.1 2.6 0.0716645
0.116667 2.6 0.0735827
0.133333 2.6 0.0736841
0.15 2.6 0.074436
0.166667 2.6 0.0743322
0.183333 2.6 0.0722423
0.2 2.6 0.0710095
0.216667 2.6 0.0686046
0.233333 2.6 0.0652536
0.25 2.6 0.0622831
0.266667 2.6 0.0586528
0.283333 2.6 0.0545975
0.3 2.6 0.0500784
0.316667 2.6 0.046252
0.333333 2.6 0.0393491
0.35 2.6 0.0405949
0.366667 2.6 0.0394401
0.383333 2.6 0.0385792
0.4 2.6 0.0369296
0.416667 2.6 0.0358996
0.433333 2.6 0.032911
0.45 2.6 0.0308353
0.466667 2.6 0.0270122
0.483333 2.6 0.0206655
0.5 2.6 0.00447214
0 0 0
0 3.165 0
0.0166667 3.165 0.0306567
0.0333333 3.165 0.0560332
0.05 3.165 0.0473665
0.0666667 3.165 0.0632962
0.0833333 3.165 0.06563
0.1 3.165 0.0694377
0.116667 3.165 0.0713033
0.133333 3.165 0.072208
0.15 3.165 0.072901
0.166667 3.165 0.0735557
0.183333 3.165 0.072204
0.2 3.165 0.0714145
0.216667 3.165 0.0697407
0.233333 3.165 0.0667223
0.25 3.165 0.0637119
0.266667 3.165 0.0597729
0.283333 3.165 0.055324
0.3 3.165 0.0510658
0.316667 3.165 0.0471401
0.333333 3.165 0.0430746
0.35 3.165 0.0418994
0.366667 3.165 0.0412882
0.383333 3.165 0.0398818
0.4 3.165 0.0384614
0.416667 3.165 0.03744
0.433333 3.165 0.0344315
0.45 3.165 0.0317246
0.466667 3.165 0.0275039
0.483333 3.165 0.0202248
0.5 3.165 0
0 0 0
0 3.85 0
0.0166667 3.85 0.028514
0.0333333 3.85 0.030507
0.05 3.85 0.0471397
0.0666667 3.85 0.0581455
0.0833333 3.85 0.0609929
0.1 3.85 0.0644884
0.116667 3.85 0.0673461
0.133333 3.85 0.0688673
0.15 3.85 0.0707641
0.166667 3.85 0.0720841
0.183333 3.85 0.071298
0.2 3.85 0.070491
0.216667 3.85 0.0671543
0.233333 3.85 0.0613331
0.25 3.85 0.0551276
0.266667 3.85 0.0493283
0.283333 3.85 0.0441608
0.3 3.85 0.0366054
0.316667 3.85 0.0327341
0.333333 3.85 0.0328933
0.35 3.85 0.025688
0.366667 3.85 0.0239593
0.383333 3.85 0.0229917
0.4 3.85 0.0210664
0.416667 3.85 0.0203702
0.433333 3.85 0.021339
0.45 3.85 0.0260168
0.466667 3.85 0.0270902
0.483333 3.85 0.0201904
0.5 3.85 0
0 0 0
0 4.685 0
0.0166667 4.685 0.0228193
0.0333333 4.685 0.0331361
0.05 4.685 0.0441825
0.0666667 4.685 0.0526192
0.0833333 4.685 0.0563382
0.1 4.685 0.060431
0.116667 4.685 0.0648479
0.133333 4.685 0.0689186
0.15 4.685 0.0722205
0.166667 4.685 0.0709236
0.183333 4.685 0.0648472
0.2 4.685 0.0563309
0.216667 4.685 0.049361
0.233333 4.685 0.0389382
0.25 4.685 0.0365937
0.266667 4.685 0.0347913
0.283333 4.685 0.0281036
0.3 4.685 0.0235725
0.316667 4.685 0.0190961
0.333333 4.685 0.0101101
0.35 4.685 0.0129615
0.366667 4.685 0.0153904
0.383333 4.685 0.0186714
0.4 4.685 0.0201871
0.416667 4.685 0.0217845
0.433333 4.685 0.0225828
0.45 4.685 0.022932
0.466667 4.685 0.0217475
0.483333 4.685 0.0178148
0.5 4.685 0
0 0 0
0 5.7 0
0.0166667 5.7 0.0223638
0.0333333 5.7 0.0375462
0.05 5.7 0.0450738
0.0666667 5.7 0.0535531
0.0833333 5.7 0.0554677
0.1 5.7 0.0626218
0.116667 5.7 0.0672946
0.133333 5.7 0.0694661
0.15 5.7 0.0681836
0.166667 5.7 0.0675586
0.183333 5.7 0.0650794
0.2 5.7 0.0546417
0.216667 5.7 0.039532
0.233333 5.7 0.0363096
0.25 5.7 0.0316082
0.266667 5.7 0.027082
0.283333 5.7 0.0229912
0.3 5.7 0.0189689
0.316667 5.7 0.0137403
0.333333 5.7 0.00649775
0.35 5.7 0.0105812
0.366667 5.7 0.0159811
0.383333 5.7 0.0199102
