# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=2
# k, omega-Ef, A(q,omega)

0.0 2.36 0.011231116854025391
0.0 2.38 0.010329249485430996
0.0 2.4 0.009462645915679689
0.0 2.42 0.009347317800166332
0.0 2.44 0.008836491870198488
0.0 2.46 0.008724813397230632
0.0 2.48 0.008540686502660674
0.0 2.5 0.008617758066712266
0.0 2.52 0.007827594064106484
0.0 2.54 0.007083949467337156
0.0 2.56 0.00664197797176978
0.0 2.58 0.006870025959275675
0.0 2.6 0.007259552599428122
0.0 2.62 0.007269479783223471
0.0 2.64 0.007134013220567767
0.0 2.66 0.006568932549724699
0.0 2.68 0.0063890480972382405
0.0 2.7 0.005908921064691454
0.0 2.72 0.005881377053550548
0.0 2.74 0.005283070461477383
0.0 2.76 0.005236992004428843
0.0 2.78 0.0050481062289910224
0.0 2.8 0.004860990769413353
0.0 2.82 0.004610604662487725
0.0 2.84 0.004575545717584987
0.0 2.86 0.004601092337999259
0.0 2.88 0.004921158935441274
0.0 2.9 0.0044646602784294154
0.0 2.92 0.003948407118236241
0.0 2.94 0.0030526466490682614
0.0 2.96 0.0028237519598596776
0.0 2.98 0.002831895294499746
0.0 3.0 0.0027502942708383165
0.0 3.02 0.002490953821968182
0.0 3.04 0.0022839849719090465
0.0 3.06 0.0028088131296690527
0.0 3.08 0.002449146249522718
0.0 3.1 0.0027385945843193134
0.0 3.12 0.0026464739296156122
0.0 3.14 0.0019753634077101815
0.0 3.16 0.0019251702639476646
0.0 3.18 0.0019185184300413083
0.0 3.2 0.002027114987511881
0.0 3.22 0.0017806444696632146
0.0 3.24 0.00172654496950887
0.0 3.26 0.0017163908304930699
0.0 3.28 0.002019274084794711
0.0 3.3 0.002003149755233095
0.0 3.32 0.0020936624736771743
0.0 3.34 0.0017642416639722385
0.0 3.36 0.0015046766129201959
0.0 3.38 0.0015552527303232244
0.0 3.4 0.0014683197080274768
0.0 3.42 0.0015646835825138604
0.0 3.44 0.001518145498603092
0.0 3.46 0.00155944633023944
0.0 3.48 0.0017251956813730258
0.0 3.5 0.0015789303202575313
0.0 3.52 0.0014434628868446283
0.0 3.54 0.0013018797334342746
0.0 3.56 0.001329023621670704
0.0 3.58 0.0012279368531827764
0.0 3.6 0.0013390247467111396
0.0 3.62 0.0014367978386992187
0.0 3.64 0.0012511516456351229
0.0 3.66 0.001135232983917284
0.0 3.68 0.0011284001986881067
0.0 3.7 0.0010060874206074758
0.0 3.72 0.001069252885803124
0.0 3.74 0.0011158665594153633
0.0 3.76 0.0011656812029694013
0.0 3.78 0.0011354192794293398
0.0 3.8 0.0009599091056548557
0.0 3.82 0.0008736412687438432
0.0 3.84 0.0007093479565907727
0.0 3.86 0.0006104668293876075
