# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=1
# k, omega-Ef, A(q,omega)

0.0 -1.8 0.04543395017982198
0.0 -1.78 0.05049816568956312
0.0 -1.76 0.05652879096610955
0.0 -1.74 0.042788565261703035
0.0 -1.72 0.029016884477039685
0.0 -1.7 0.018393140645418887
0.0 -1.68 0.012263409612899378
0.0 -1.66 0.008898003720939957
0.0 -1.64 0.007840412467572042
0.0 -1.62 0.006082903378633819
0.0 -1.6 0.005616929985927183
0.0 -1.58 0.004829780172520033
0.0 -1.56 0.004381410253332873
0.0 -1.54 0.0039705560639922526
0.0 -1.52 0.0038767778996914703
0.0 -1.5 0.0037944250004512663
0.0 -1.48 0.003336246725915223
0.0 -1.46 0.003501640096881533
0.0 -1.44 0.002973922500847725
0.0 -1.42 0.003033726923010579
0.0 -1.4 0.0033395517413720667
0.0 -1.38 0.002875551570894478
0.0 -1.36 0.0035916271637971234
0.0 -1.34 0.0034957531135009472
0.0 -1.32 0.0037274995192496134
0.0 -1.3 0.0038410726867703676
0.0 -1.28 0.0042916096215163645
0.0 -1.26 0.004120846576711025
0.0 -1.24 0.004678448087954532
0.0 -1.22 0.00474859604879496
0.0 -1.2 0.00501460115363741
0.0 -1.18 0.005355236697923268
0.0 -1.16 0.005986577697818263
0.0 -1.14 0.0064777209323040935
0.0 -1.12 0.006788254120968759
0.0 -1.1 0.007697415390582884
0.0 -1.08 0.007690934384616025
0.0 -1.06 0.008097265056766188
0.0 -1.04 0.008917368982216616
0.0 -1.02 0.009075632965451177
0.0 -1.0 0.010780466607844198
0.0 -0.98 0.010239656665470515
0.0 -0.96 0.01133879480917765
0.0 -0.94 0.01061417295369582
0.0 -0.92 0.009767219755058048
0.0 -0.9 0.008133645990569467
0.0 -0.88 0.008792600808415499
0.0 -0.86 0.008837826322226905
0.0 -0.84 0.009307948327943351
0.0 -0.82 0.008761079404377327
0.0 -0.8 0.00838921838056173
0.0 -0.78 0.009139548797356277
0.0 -0.76 0.00873912628593359
0.0 -0.74 0.008665615507310967
0.0 -0.72 0.00926153115299055
0.0 -0.7 0.010089453833348996
0.0 -0.68 0.012065217676372749
0.0 -0.66 0.012504535582574824
0.0 -0.64 0.012521069806133179
0.0 -0.62 0.013184225728360158
0.0 -0.6 0.014065748931761648
0.0 -0.58 0.013482658569194233
0.0 -0.56 0.011654380556532064
0.0 -0.54 0.011109389823014128
0.0 -0.52 0.00949073012198844
0.0 -0.5 0.012991399032122493
0.0 -0.48 0.013127755056641799
0.0 -0.46 0.011372747500261718
0.0 -0.44 0.01008822639804531
0.0 -0.42 0.00950695564550145
0.0 -0.4 0.009627371475695664
0.0 -0.38 0.008988770501076748
0.0 -0.36 0.009480443574702043
0.0 -0.34 0.01045568533209454
0.0 -0.32 0.009456317910394153
0.0 -0.3 0.009486227097503696
0.0 -0.28 0.009693354744429535
0.0 -0.26 0.009189759721847896
0.0 -0.24 0.010212823976552007
0.0 -0.22 0.01203355409297172
0.0 -0.2 0.012703328547627346
0.0 -0.18 0.013180522092221163
0.0 -0.16 0.012955722707070074
0.0 -0.14 0.012180493878804103
0.0 -0.12 0.014411220787836241
0.0 -0.1 0.01538882932312476
0.0 -0.08 0.016691888394159606
0.0 -0.06 0.018401425594426684
0.0 -0.04 0.020064874752669
0.0 -0.02 0.022247016540609312
0.0 0.0 0.025231495377241796
0.0 0.02 0.029272509285286092
0.0 0.04 0.034805057733692205
0.0 0.06 0.04274941791897741
0.0 0.08 0.054157329493118155
0.0 0.1 0.07035749271445442
0.0 0.12 0.08977091201576164
0.0 0.14 0.11224444234945226
0.0 0.16 0.1340962500340578
0.0 0.18 0.1559871703839821
0.0 0.2 0.17816318275683612
0.0 0.22 0.19921497973693514
0.0 0.24 0.22176118171848042
0.0 0.26 0.243364115834654
0.0 0.28 0.26465952069503823
0.0 0.3 0.287506234220914
0.0 0.32 0.3117939416647369
0.0 0.34 0.33475267188960656
0.0 0.36 0.34443038618624533
0.0 0.38 0.3423299670554476
0.0 0.4 0.32292947948233514
0.0 0.42 0.29613021701180187
0.0 0.44 0.27178808493639145
0.0 0.46 0.24787427081051594
0.0 0.48 0.2299434920291651
0.0 0.5 0.22024415832679467
0.0 0.52 0.21690729681306034
0.0 0.54 0.22229006692015715
0.0 0.56 0.23304292766651113
0.0 0.58 0.23254231393711747
