# generalized Kondo-Heisenberg model
# U/W=XXXXX n=1.5 L=48
# density-of-states DOS(omega)
# Jh/U, omega-Ef, DOS(omega)

 0  2.78476 0.00163818
 0  2.79477 0.00162459
 0  2.80478 0.00161086
 0  2.81479 0.00159742
 0  2.82481 0.00158453
 0  2.83482 0.00157225
 0  2.84483 0.00156049
 0  2.85484 0.00154904
 0  2.86485 0.00153766
 0  2.87486 0.00152613
 0  2.88487 0.00151438
 0  2.89488 0.00150249
 0  2.90489 0.00149069
 0  2.91491 0.00147915
 0  2.92492 0.00146791
 0  2.93493 0.00145695
 0  2.94494 0.00144621
 0  2.95495 0.00143568
 0  2.96496 0.00142534
 0  2.97497 0.00141521
 0  2.98498 0.00140527
 0  2.99499 0.00139551
 0.01 -5.99499 0.000765836
 0.01 -5.98498 0.000770017
 0.01 -5.97497 0.000774245
 0.01 -5.96496 0.000778527
 0.01 -5.95495 0.00078287
 0.01 -5.94494 0.000787273
 0.01 -5.93493 0.000791735
 0.01 -5.92492 0.000796247
 0.01 -5.91491 0.0008008
 0.01 -5.90489 0.000805383
 0.01 -5.89488 0.000809991
 0.01 -5.88487 0.000814627
 0.01 -5.87486 0.000819299
 0.01 -5.86485 0.000824015
 0.01 -5.85484 0.000828787
 0.01 -5.84483 0.000833626
 0.01 -5.83482 0.000838542
 0.01 -5.82481 0.000843539
 0.01 -5.81479 0.000848618
 0.01 -5.80478 0.000853783
 0.01 -5.79477 0.000859043
 0.01 -5.78476 0.000864412
 0.01 -5.77475 0.0008699
 0.01 -5.76474 0.000875514
 0.01 -5.75473 0.00088125
 0.01 -5.74472 0.000887103
 0.01 -5.73471 0.000893063
 0.01 -5.72469 0.000899098
 0.01 -5.71468 0.000905139
 0.01 -5.70467 0.000911099
 0.01 -5.69466 0.000916917
 0.01 -5.68465 0.000922607
 0.01 -5.67464 0.000928251
 0.01 -5.66463 0.000933945
 0.01 -5.65462 0.000939761
 0.01 -5.64461 0.000945744
 0.01 -5.63459 0.000951921
 0.01 -5.62458 0.000958313
 0.01 -5.61457 0.000964939
 0.01 -5.60456 0.000971816
 0.01 -5.59455 0.000978948
 0.01 -5.58454 0.000986306
 0.01 -5.57453 0.000993822
 0.01 -5.56452 0.00100142
 0.01 -5.55451 0.00100905
 0.01 -5.54449 0.00101669
 0.01 -5.53448 0.00102434
 0.01 -5.52447 0.001032
 0.01 -5.51446 0.00103969
 0.01 -5.50445 0.00104741
