# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

-2.90675 6.997709955198831884e-03
-2.88675 7.688803832608480555e-03
-2.86675 8.363839285748049870e-03
-2.84675 8.726575314536511724e-03
-2.82675 8.523103707420367700e-03
-2.80675 8.679262175731738277e-03
-2.78675 9.117384725873473386e-03
-2.76675 1.014238250270821894e-02
-2.74675 1.016722795263493018e-02
-2.72675 1.059423730982600627e-02
-2.70675 1.110110986197054665e-02
-2.68675 1.198397146897504754e-02
-2.66675 1.268213423772064294e-02
-2.64675 1.344292409343156303e-02
-2.62675 1.426784730417282078e-02
-2.60675 1.457541871253291953e-02
-2.58675 1.489513446834680663e-02
-2.56675 1.666108228372379860e-02
-2.54675 1.712247199153163826e-02
-2.52675 1.752305937219604537e-02
-2.50675 1.856916808993814769e-02
-2.48675 1.994186292273081307e-02
-2.46675 2.047712904321653468e-02
-2.44675 2.259462520677558636e-02
-2.42675 2.371407062346055084e-02
-2.40675 2.474781887558267016e-02
-2.38675 2.499672553373794362e-02
-2.36675 2.681018743030311527e-02
-2.34675 2.814134162025974661e-02
-2.32675 2.897773191139868185e-02
-2.30675 2.967078223088549099e-02
-2.28675 2.967559592319932160e-02
-2.26675 2.967693079303926340e-02
-2.24675 3.132486470234213671e-02
-2.22675 3.122871259766205748e-02
-2.20675 3.285077262427876787e-02
-2.18675 3.554561888520432061e-02
-2.16675 3.720436274744949590e-02
-2.14675 3.815533784718626309e-02
-2.12675 3.924790933247863933e-02
-2.10675 3.927777318934379952e-02
-2.08675 3.673331694647869600e-02
-2.06675 3.451593716335528417e-02
-2.04675 3.376958075220027472e-02
-2.02675 3.361961691491813925e-02
-2.00675 3.398923372327121439e-02
-1.98675 3.367842915801744219e-02
-1.96675 3.395056628781647351e-02
-1.94675 3.470107642813768933e-02
-1.92675 3.597016585986239495e-02
-1.90675 3.701312065731002243e-02
-1.88675 3.945596112735684502e-02
-1.86675 4.165622053736982994e-02
-1.84675 4.481863466016523107e-02
-1.82675 4.993414557779449203e-02
-1.80675 5.426942548636394525e-02
-1.78675 5.752190955658752908e-02
-1.76675 6.292356707948140726e-02
-1.74675 6.270400169472879759e-02
-1.72675 5.298369437416189376e-02
-1.70675 3.904653698084505770e-02
-1.68675 2.888202375805208610e-02
-1.66675 2.264000852840699490e-02
-1.64675 1.877046393322751722e-02
-1.62675 1.630522211409099476e-02
-1.60675 1.464143930377348468e-02
-1.58675 1.318475670359425637e-02
-1.56675 1.275697684443392009e-02
-1.54675 1.226150617781076625e-02
-1.52675 1.184296769969010732e-02
-1.50675 1.196686553260931617e-02
-1.48675 1.172577063685213694e-02
-1.46675 1.185494996557321344e-02
-1.44675 1.216635386246837230e-02
-1.42675 1.223619655989889934e-02
-1.40675 1.260616586661134769e-02
-1.38675 1.304935168796753260e-02
-1.36675 1.327125097658133669e-02
