# dynamical spin structure factor of effective S=1/2 Heisenberg model
# L=100, n=1.40
# k, omega, S(q,omega)

1.0000000000000000E-002 0.32100000000000001 -9.2853632855544868E-004
1.0000000000000000E-002 0.32400000000000001 -1.7394138895101080E-004
1.0000000000000000E-002 0.32700000000000001 1.0772369366405178E-003
1.0000000000000000E-002 0.33000000000000002 -7.9334343260039177E-004
1.0000000000000000E-002 0.33300000000000002 -1.9740896303524049E-003
1.0000000000000000E-002 0.33600000000000002 -3.8550405166528235E-004
1.0000000000000000E-002 0.33900000000000002 -1.3007136923438108E-003
1.0000000000000000E-002 0.34200000000000003 -2.3099196152276454E-003
1.0000000000000000E-002 0.34500000000000003 -7.3004967718297254E-004
1.0000000000000000E-002 0.34800000000000003 1.0886647070614010E-003
1.0000000000000000E-002 0.35100000000000003 6.4807416776796321E-005
1.0000000000000000E-002 0.35399999999999998 -1.5492323772484226E-003
1.0000000000000000E-002 0.35699999999999998 -1.2526076450314150E-003
1.0000000000000000E-002 0.35999999999999999 4.8317107998447381E-004
1.0000000000000000E-002 0.36299999999999999 -7.0585791302428872E-004
1.0000000000000000E-002 0.36599999999999999 -1.2803137123000383E-003
1.0000000000000000E-002 0.36899999999999999 7.9229946549351754E-005
1.0000000000000000E-002 0.37200000000000000 4.6902973520722175E-004
1.0000000000000000E-002 0.37500000000000000 7.1836380214138475E-004
1.0000000000000000E-002 0.37800000000000000 2.1005627231340785E-003
1.0000000000000000E-002 0.38100000000000001 1.0406402354559557E-005
1.0000000000000000E-002 0.38400000000000001 2.8041329098471270E-004
1.0000000000000000E-002 0.38700000000000001 -7.3930887570516609E-004
1.0000000000000000E-002 0.39000000000000001 4.2517752481545178E-004
1.0000000000000000E-002 0.39300000000000002 -2.5155664558889198E-003
1.0000000000000000E-002 0.39600000000000002 -7.8636787653327690E-004
1.0000000000000000E-002 0.39900000000000002 1.4463163065114213E-003
1.0000000000000000E-002 0.40200000000000002 1.6488395602762918E-003
1.0000000000000000E-002 0.40500000000000003 2.7636139509928655E-003
1.0000000000000000E-002 0.40800000000000003 8.4500236974882333E-004
1.0000000000000000E-002 0.41100000000000003 -6.2081601170476701E-003
1.0000000000000000E-002 0.41400000000000003 2.2432053758858241E-003
1.0000000000000000E-002 0.41699999999999998 -4.1798195537819131E-003
1.0000000000000000E-002 0.41999999999999998 2.3163956690611309E-003
1.0000000000000000E-002 0.42299999999999999 -3.3100305204476163E-003
1.0000000000000000E-002 0.42599999999999999 2.3557585958158336E-003
1.0000000000000000E-002 0.42899999999999999 4.8109801851781344E-003
1.0000000000000000E-002 0.43200000000000000 2.2437563022498710E-004
1.0000000000000000E-002 0.43500000000000000 -1.2369192111840336E-004
1.0000000000000000E-002 0.43800000000000000 5.1362117249249524E-003
1.0000000000000000E-002 0.44100000000000000 -3.9143881547305049E-003
1.0000000000000000E-002 0.44400000000000001 -6.9571482831163305E-003
1.0000000000000000E-002 0.44700000000000001 1.1774133684401297E-003
1.0000000000000000E-002 0.45000000000000001 -6.1163449723324707E-003
1.0000000000000000E-002 0.45300000000000001 5.0516902954029236E-003
1.0000000000000000E-002 0.45600000000000002 1.0212220106819768E-003
1.0000000000000000E-002 0.45900000000000002 -6.3769299716588384E-003
1.0000000000000000E-002 0.46200000000000002 -6.9252871037904463E-003
1.0000000000000000E-002 0.46500000000000002 3.0905565266940898E-003
1.0000000000000000E-002 0.46800000000000003 -7.7173536375044448E-003
1.0000000000000000E-002 0.47100000000000003 4.5254606635266037E-003
1.0000000000000000E-002 0.47400000000000003 -5.5244100544793902E-003
1.0000000000000000E-002 0.47700000000000004 7.8409009065097250E-004
1.0000000000000000E-002 0.47999999999999998 -2.7076801356710296E-003
1.0000000000000000E-002 0.48299999999999998 -1.8080033523095766E-003
1.0000000000000000E-002 0.48599999999999999 1.9934233161550722E-004
1.0000000000000000E-002 0.48899999999999999 -3.3737379365644930E-003
1.0000000000000000E-002 0.49199999999999999 2.5234616629883876E-003
1.0000000000000000E-002 0.49500000000000000 1.7965713813349101E-004
1.0000000000000000E-002 0.49800000000000000 -1.0673779225089620E-002
1.0000000000000000E-002 0.50100000000000000 -2.8237984293853274E-003
