# Fig. 1A
# Two-orbital Haldane model
# Dynamical spin-structure factor S(q,omega)
# for Hund exchange Jh/U=0.25
# for interaction U/W=4.0 (W=1)
# in the function of wavevector q and frequency normalized by J

# 1st column: wave vector q/pi
# 2nd column: frequency omega normalized by effective exchange J
# 3rd column: S(q,omega)

 0.966667  2  0.0546073
 0.966667  2.02 -0.0111523
 0.966667  2.04  0.0439198
 0.966667  2.06  0.0282245
 0.966667  2.08  0.0819249
 0.966667  2.1  0.0196669
 0.966667  2.12  0.0956131
 0.966667  2.14  0.0410709
 0.966667  2.16  0.0819848
 0.966667  2.18  0.0959867
 0.966667  2.2  0.0667129
 0.966667  2.22  0.0723299
 0.966667  2.24  0.0112849
 0.966667  2.26  0.131822
 0.966667  2.28  0.11731
 0.966667  2.3  0.0691559
 0.966667  2.32  0.113266
 0.966667  2.34  0.114912
 0.966667  2.36  0.0817772
 0.966667  2.38  0.0965479
 0.966667  2.4  0.124913
 0.966667  2.42  0.105104
 0.966667  2.44  0.0902953
 0.966667  2.46  0.087179
 0.966667  2.48  0.0850036
 0.966667  2.5  0.134757
 0.966667  2.52  0.127189
 0.966667  2.54  0.121248
 0.966667  2.56  0.0700799
 0.966667  2.58  0.117406
 0.966667  2.6  0.0745126
 0.966667  2.62  0.0977212
 0.966667  2.64  0.111709
 0.966667  2.66  0.0807977
 0.966667  2.68  0.104879
 0.966667  2.7  0.124988
 0.966667  2.72  0.11175
 0.966667  2.74  0.109516
 0.966667  2.76  0.0988001
 0.966667  2.78  0.0679336
 0.966667  2.8  0.0989993
 0.966667  2.82  0.0737016
 0.966667  2.84  0.0787881
 0.966667  2.86  0.0822686
 0.966667  2.88  0.0713799
 0.966667  2.9  0.0578218
 0.966667  2.92  0.0662284
 0.966667  2.94  0.0511775
 0.966667  2.96  0.062674
 0.966667  2.98  0.0598901
 0.966667  3  0.0472596
 0.966667  3.02  0.0577593
 0.966667  3.04  0.0565235
 0.966667  3.06  0.0409569
 0.966667  3.08  0.0395375
 0.966667  3.1  0.0556789
 0.966667  3.12  0.025679
 0.966667  3.14  0.0219376
 0.966667  3.16  0.0341322
 0.966667  3.18  0.0382131
 0.966667  3.2  0.0264491
 0.966667  3.22  0.0265019
 0.966667  3.24  0.0350142
 0.966667  3.26  0.0372573
 0.966667  3.28  0.0360144
 0.966667  3.3  0.0214209
 0.966667  3.32  0.0102211
 0.966667  3.34  0.02069
 0.966667  3.36  0.025658
 0.966667  3.38  0.0294452
 0.966667  3.4  0.0114819
 0.966667  3.42  0.0242863
 0.966667  3.44  0.0370849
 0.966667  3.46  0.0157586
 0.966667  3.48  0.0240079
 0.966667  3.5  0.0157675
 0.966667  3.52  0.00471911
 0.966667  3.54  0.0183339
 0.966667  3.56  0.0246674
 0.966667  3.58  0.00788117
 0.966667  3.6  0.00398963
 0.966667  3.62  0.0224649
 0.966667  3.64  0.00970633
 0.966667  3.66  0.0151049
 0.966667  3.68  0.0137719
 0.966667  3.7  0.00340451
 0.966667  3.72  0.0205703
 0.966667  3.74  0.0102647
 0.966667  3.76  0.0144242
 0.966667  3.78  0.00788586
 0.966667  3.8  0.021329
 0.966667  3.82  0.0089654
 0.966667  3.84  0.0067395
 0.966667  3.86  0.00771112
 0.966667  3.88  0.00628706
 0.966667  3.9  0.00703798
 0.966667  3.92  0.00681564
 0.966667  3.94  0.00295528
 0.966667  3.96  0.00957813
 0.966667  3.98  0.000464546
 0.966667  4  0.0055377

 0.95  0  0.151636
 0.95  0.02  0.15847
 0.95  0.04  0.165149
 0.95  0.06  0.171925
 0.95  0.08  0.1791
 0.95  0.1  0.186973
 0.95  0.12  0.195802
 0.95  0.14  0.205804
 0.95  0.16  0.217178
 0.95  0.18  0.230136
 0.95  0.2  0.244949
 0.95  0.22  0.262009
 0.95  0.24  0.281909
 0.95  0.26  0.30556
 0.95  0.28  0.334359
 0.95  0.3  0.370344
 0.95  0.32  0.416306
 0.95  0.34  0.475715
 0.95  0.36  0.552219
 0.95  0.38  0.648966
 0.95  0.4  0.76751
 0.95  0.42  0.906885
 0.95  0.44  1.06193
 0.95  0.46  1.23004
 0.95  0.48  1.39553
 0.95  0.5  1.54872
 0.95  0.52  1.66655
 0.95  0.54  1.75338
 0.95  0.56  1.7902
 0.95  0.58  1.7944
 0.95  0.6  1.77052
 0.95  0.62  1.74755
 0.95  0.64  1.70609
 0.95  0.66  1.68958
 0.95  0.68  1.62532
 0.95  0.7  1.59553
 0.95  0.72  1.55728
 0.95  0.74  1.56867
 0.95  0.76  1.53053
 0.95  0.78  1.40901
 0.95  0.8  1.36398
 0.95  0.82  1.15811
 0.95  0.84  1.06836
 0.95  0.86  0.939823
 0.95  0.88  0.781773
 0.95  0.9  0.647659
 0.95  0.92  0.569602
 0.95  0.94  0.472523
 0.95  0.96  0.406264
 0.95  0.98  0.359324
 0.95  1  0.214579
 0.95  1.02  0.220493
 0.95  1.04  0.118044
 0.95  1.06  0.0374942
 0.95  1.08  0.201012
 0.95  1.1  0.091541
 0.95  1.12  0.0602272
 0.95  1.14  0.101622
 0.95  1.16  0.11351
 0.95  1.18  0.140717
 0.95  1.2  0.154159
 0.95  1.22  0.155642
 0.95  1.24  0.152235
 0.95  1.26  0.144572
 0.95  1.28  0.140409
 0.95  1.3  0.113462
 0.95  1.32  0.0996579
 0.95  1.34  0.0992825
 0.95  1.36  0.0576798
 0.95  1.38  0.0922164
 0.95  1.4  0.0714415
 0.95  1.42  0.0747659
 0.95  1.44  0.0453891
 0.95  1.46  0.0125176
 0.95  1.48  0.0278299
 0.95  1.5 -0.050486
 0.95  1.52 -0.0141363
 0.95  1.54  0.0137678
 0.95  1.56  0.0230056
 0.95  1.58 -0.0338359
 0.95  1.6  0.00391358
 0.95  1.62 -0.00859204
 0.95  1.64  0.0961477
 0.95  1.66  0.053542
 0.95  1.68  0.0237841
 0.95  1.7  0.0572102
 0.95  1.72 -0.00529379
 0.95  1.74  0.0141141
 0.95  1.76 -0.00892663
 0.95  1.78  0.00945538
 0.95  1.8  0.00657659
 0.95  1.82  0.00935906
 0.95  1.84  0.0321015
 0.95  1.86 -0.0169107
 0.95  1.88  0.00262817
 0.95  1.9 -0.0315863
 0.95  1.92  0.0478457
 0.95  1.94  0.01424
 0.95  1.96 -0.00961497
 0.95  1.98 -0.0248971
 0.95  2  0.0479671
 0.95  2.02 -0.0332678
 0.95  2.04 -0.027363
 0.95  2.06  0.0302836
 0.95  2.08  0.0112692
 0.95  2.1  0.0336427
 0.95  2.12  0.050566
 0.95  2.14  0.014549
 0.95  2.16  0.0539674
 0.95  2.18  0.00509181
 0.95  2.2  0.0454962
 0.95  2.22  0.0562941
 0.95  2.24  0.0210332
 0.95  2.26  0.0841515
 0.95  2.28  0.11016
 0.95  2.3  0.0925271
 0.95  2.32  0.0968143
 0.95  2.34  0.1177
 0.95  2.36  0.0820526
 0.95  2.38  0.099987
 0.95  2.4  0.130434
 0.95  2.42  0.0738151
 0.95  2.44  0.0936012
 0.95  2.46  0.0828071
 0.95  2.48  0.116584
 0.95  2.5  0.177156
 0.95  2.52  0.148231
 0.95  2.54  0.140667
 0.95  2.56  0.101328
 0.95  2.58  0.11822
 0.95  2.6  0.121225
 0.95  2.62  0.126025
 0.95  2.64  0.148193
 0.95  2.66  0.0913796
 0.95  2.68  0.153483
 0.95  2.7  0.13449
 0.95  2.72  0.122819
 0.95  2.74  0.101575
 0.95  2.76  0.0973072
 0.95  2.78  0.0837273
 0.95  2.8  0.117209
 0.95  2.82  0.0784683
 0.95  2.84  0.0550879
 0.95  2.86  0.0931654
 0.95  2.88  0.0769563
 0.95  2.9  0.0710481
 0.95  2.92  0.063299
 0.95  2.94  0.0311399
 0.95  2.96  0.0583842
 0.95  2.98  0.0618637
 0.95  3  0.0142242
 0.95  3.02  0.0494627
 0.95  3.04  0.048502
 0.95  3.06  0.0468026
 0.95  3.08  0.0246635
 0.95  3.1  0.0411253
 0.95  3.12  0.0207191
 0.95  3.14  0.0248631
 0.95  3.16  0.0292089
 0.95  3.18  0.00518331
 0.95  3.2  0.0218499
 0.95  3.22  0.00798532
 0.95  3.24  0.0247542
 0.95  3.26  0.0202232
 0.95  3.28  0.0108954
 0.95  3.3  0.0165307
 0.95  3.32 -0.0052902
 0.95  3.34  0.00939959
 0.95  3.36  0.0133456
 0.95  3.38  0.0147596
 0.95  3.4  0.00197429
 0.95  3.42  0.0113956
 0.95  3.44  0.00923725
 0.95  3.46  0.0131143
 0.95  3.48  0.0103321
 0.95  3.5 -0.00078477
 0.95  3.52  0.00251067
 0.95  3.54 -0.00309134
 0.95  3.56  0.00785488
 0.95  3.58 -0.00426453
 0.95  3.6 -0.000714769
 0.95  3.62 -0.00100454
 0.95  3.64 -0.000270544
 0.95  3.66  0.00618439
 0.95  3.68 -0.00624352
 0.95  3.7 -0.0114631
 0.95  3.72 -0.000360017
 0.95  3.74 -0.00124942
 0.95  3.76  0.000172674
 0.95  3.78 -0.00729172
 0.95  3.8  0.00772515
 0.95  3.82 -0.000817486
 0.95  3.84  0.00141509
 0.95  3.86 -0.00116423
 0.95  3.88 -0.000808669
 0.95  3.9  0.00193952
 0.95  3.92 -0.00602587
 0.95  3.94 -0.00208806
 0.95  3.96 -0.0011844
 0.95  3.98  0.0002815
 0.95  4 -0.00151933

 0.933333  0  0.128372
 0.933333  0.02  0.131869
 0.933333  0.04  0.134358
 0.933333  0.06  0.136203
 0.933333  0.08  0.137851
 0.933333  0.1  0.139721
 0.933333  0.12  0.142147
 0.933333  0.14  0.145352
 0.933333  0.16  0.149482
 0.933333  0.18  0.154635
 0.933333  0.2  0.160886
 0.933333  0.22  0.168324
 0.933333  0.24  0.177064
 0.933333  0.26  0.187282
 0.933333  0.28  0.199248
 0.933333  0.3  0.213359
 0.933333  0.32  0.230175
 0.933333  0.34  0.25044
 0.933333  0.36  0.275011
 0.933333  0.38  0.304858
 0.933333  0.4  0.340901
 0.933333  0.42  0.384041
 0.933333  0.44  0.433795
 0.933333  0.46  0.494231
 0.933333  0.48  0.561446
 0.933333  0.5  0.638416
 0.933333  0.52  0.717923
 0.933333  0.54  0.799845
 0.933333  0.56  0.882351
 0.933333  0.58  0.962184
 0.933333  0.6  1.04109
 0.933333  0.62  1.1334
 0.933333  0.64  1.22626
 0.933333  0.66  1.34583
 0.933333  0.68  1.42205
 0.933333  0.7  1.5361
 0.933333  0.72  1.61727
 0.933333  0.74  1.7667
 0.933333  0.76  1.8295
 0.933333  0.78  1.786
 0.933333  0.8  1.7728
 0.933333  0.82  1.56127
 0.933333  0.84  1.50335
 0.933333  0.86  1.34503
 0.933333  0.88  1.17538
 0.933333  0.9  1.00566
 0.933333  0.92  0.909066
 0.933333  0.94  0.806879
 0.933333  0.96  0.708256
 0.933333  0.98  0.658808
 0.933333  1  0.500745
 0.933333  1.02  0.441903
 0.933333  1.04  0.33772
 0.933333  1.06  0.235535
 0.933333  1.08  0.343967
 0.933333  1.1  0.198028
 0.933333  1.12  0.110018
 0.933333  1.14  0.118272
 0.933333  1.16  0.161912
 0.933333  1.18  0.210131
 0.933333  1.2  0.198187
 0.933333  1.22  0.171314
 0.933333  1.24  0.171531
 0.933333  1.26  0.162332
 0.933333  1.28  0.160558
 0.933333  1.3  0.130259
 0.933333  1.32  0.143826
 0.933333  1.34  0.136112
 0.933333  1.36  0.0793266
 0.933333  1.38  0.0987273
 0.933333  1.4  0.151758
 0.933333  1.42  0.107815
 0.933333  1.44  0.132197
 0.933333  1.46  0.0581031
 0.933333  1.48  0.0835748
 0.933333  1.5  0.0233835
 0.933333  1.52  0.0478916
 0.933333  1.54  0.0497614
 0.933333  1.56  0.0533124
 0.933333  1.58  0.021195
 0.933333  1.6  0.0382678
 0.933333  1.62  0.0364096
 0.933333  1.64  0.0766516
 0.933333  1.66  0.0216368
 0.933333  1.68  0.0437401
 0.933333  1.7  0.0664891
 0.933333  1.72  0.029243
 0.933333  1.74  0.0675362
 0.933333  1.76 -0.014798
 0.933333  1.78  0.0200773
 0.933333  1.8  0.0116355
 0.933333  1.82  0.0109675
 0.933333  1.84  0.0456071
 0.933333  1.86 -0.00211642
 0.933333  1.88 -0.00269558
 0.933333  1.9 -0.0153975
 0.933333  1.92  0.0350917
 0.933333  1.94  0.0190517
 0.933333  1.96 -0.00714064
 0.933333  1.98 -0.0023561
 0.933333  2  0.0491875
 0.933333  2.02  0.00308701
 0.933333  2.04 -0.0332359
 0.933333  2.06  0.0157915
 0.933333  2.08 -0.00932738
 0.933333  2.1  0.0404299
 0.933333  2.12  0.0108833
 0.933333  2.14  0.00460369
 0.933333  2.16  0.0221862
 0.933333  2.18 -0.0325292
 0.933333  2.2  0.0406656
 0.933333  2.22  0.0423528
 0.933333  2.24  0.0213349
 0.933333  2.26  0.0356309
 0.933333  2.28  0.0467841
 0.933333  2.3  0.0689379
 0.933333  2.32  0.0518479
