# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, A(k,omega)

0.005 -0.08 0.00427133
0.005 -0.04 0.0035121
0.005 0 0.00246103
0.005 0.04 0.00164539
0.005 0.08 0.00114917
0.005 0.12 0.000849731
0.005 0.16 0.00065881
0.005 0.2 0.000529749
0.005 0.24 0.000438077
0.005 0.28 0.000370275
0.005 0.32 0.000318465
0.005 0.36 0.000277679
0.005 0.4 0.000245086
0.005 0.44 0.000218529
0.005 0.48 0.000196405
0.005 0.52 0.000177782
0.005 0.56 0.000161946
0.005 0.6 0.00014833
0.005 0.64 0.000136506
0.005 0.68 0.000126177
0.005 0.72 0.000117089
0.005 0.76 0.000109023
0.005 0.8 0.000101838
0.005 0.84 9.53974e-05
0.005 0.88 8.96087e-05
0.005 0.92 8.43742e-05
0.005 0.96 7.96052e-05
0.005 1 0
0.005 1.04 0
0.005 1.08 0
0.005 1.12 0
0.005 1.16 0
0.005 1.2 0
0.005 1.24 0
0.005 1.28 0
0.005 1.32 0
0.005 1.36 0
0.005 1.4 0
0.005 1.44 0
0.005 1.48 0
0.005 1.52 0
0.005 1.56 0
0.005 1.6 0
0.005 1.64 0
0.005 1.68 0
0.005 1.72 0
0.005 1.76 0
0.005 1.8 0
0.005 1.84 0
0.005 1.88 0
0.005 1.92 0
0.005 1.96 0
0.005 2 0
0.005 2.04 0
0.005 2.08 0
0.005 2.12 0
0.005 2.16 0
0.005 2.2 0
0.005 2.24 0
0.005 2.28 0
0.005 2.32 0
0.005 2.36 0
0.005 2.4 0
0.005 2.44 0
0.005 2.48 0
0.005 2.52 0
0.005 2.56 0
0.005 2.6 0
0.005 2.64 0
0.005 2.68 0
0.005 2.72 0
0.005 2.76 0
0.005 2.8 0
0.005 2.84 0
0.005 2.88 0
0.005 2.92 0
0.005 2.96 0
0.005 3 0
0.01 -5 6.5073e-05
0.01 -4.96 6.97014e-05
0.01 -4.92 6.41725e-05
0.01 -4.88 7.17906e-05
0.01 -4.84 0.000100997
0.01 -4.8 6.35404e-05
0.01 -4.76 8.54456e-05
0.01 -4.72 9.41059e-05
0.01 -4.68 9.89765e-05
0.01 -4.64 0.000104047
0.01 -4.6 0.000120304
0.01 -4.56 9.1053e-05
0.01 -4.52 0.000110506
0.01 -4.48 0.000129963
0.01 -4.44 0.000144982
0.01 -4.4 0.000119995
0.01 -4.36 0.000147014
0.01 -4.32 0.000119548
0.01 -4.28 0.000144201
0.01 -4.24 0.000153939
0.01 -4.2 0.000135808
0.01 -4.16 0.000132896
0.01 -4.12 0.000208333
0.01 -4.08 0.000197465
0.01 -4.04 0.000227608
0.01 -4 0.00022818
0.01 -3.96 0.00017693
0.01 -3.92 0.000204039
0.01 -3.88 0.000225195
