# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=3/2
# k, omega, S(k,omega)

0.015 0.15 0.0196141
0.015 0.156 0.0592027
0.015 0.162 0.096043
0.015 0.168 0.0419212
0.015 0.174 0.0557861
0.015 0.18 0.00775093
0.015 0.186 0.0952736
0.015 0.192 0.096827
0.015 0.198 0.0713419
0.015 0.204 0.0775758
0.015 0.21 0.0507945
0.015 0.216 0.0407027
0.015 0.222 0.0708316
0.015 0.228 0.113674
0.015 0.234 0.131678
0.015 0.24 0.133256
0.015 0.246 0.0613596
0.015 0.252 0.012902
0.015 0.258 0.000114989
0.015 0.264 0.00885348
0.015 0.27 0.0157763
0.015 0.276 0.0159142
0.015 0.282 0.00129539
0.015 0.288 0.0120505
0.015 0.294 0.00336799
0.015 0.3 0.00676106
0.015 0.306 0.00201114
0.015 0.312 0.00722524
0.015 0.318 0.00817073
0.015 0.324 0.0123508
0.015 0.33 0.0088381
0.015 0.336 0.00843698
0.015 0.342 0.0137401
0.015 0.348 0.00819749
0.015 0.354 0.0109022
0.015 0.36 0.00482066
0.015 0.366 0.0015128
0.015 0.372 0.00180538
0.015 0.378 0.00166024
0.015 0.384 0.00463136
0.015 0.39 0.000704014
0.015 0.396 0.000632823
0.015 0.402 0.00371824
0.015 0.408 0.00368014
0.015 0.414 0.00368437
0.015 0.42 0.00340374
0.015 0.426 0.00327621
0.015 0.432 0.00444762
0.015 0.438 0.00374931
0.015 0.444 0.000924675
0.015 0.45 0.000428972
0.015 0.456 0.000843425
0.015 0.462 0.000746864
0.015 0.468 0.00172026
0.015 0.474 0.00346733
0.015 0.48 0.00357023
0.015 0.486 0.00357023
0.015 0.492 0.00357023
0.015 0.498 0.00357023
0.015 0.504 0.00357023
0.015 0.51 0.00357023
0.015 0.516 0.00357023
0.015 0.522 0.00357023
0.015 0.528 0.00357023
0.015 0.534 0.00357023
0.015 0.54 0.00357023
0.015 0.546 0.00357023
0.015 0.552 0.00357023
0.015 0.558 0.00357023
0.015 0.564 0.00357023
0.015 0.57 0.00357023
0.015 0.576 0.00357023
0.015 0.582 0.00357023
0.015 0.588 0.00357023
0.015 0.594 0.00357023
0.015 0.6 0.00357023
0.02 0 0.127596
0.02 0.006 0.118425
0.02 0.012 0.0843165
0.02 0.018 0.047931
0.02 0.024 0.040254
0.02 0.03 0.0536062
0.02 0.036 0.043664
0.02 0.042 0.0430563
0.02 0.048 0.067771
0.02 0.054 0.0975899
0.02 0.06 0.0699413
0.02 0.066 0.0610964
0.02 0.072 0.0259452
0.02 0.078 0.0278136
0.02 0.084 0.125449
0.02 0.09 0.0572196
0.02 0.096 0.0388787
0.02 0.102 0.0581465
0.02 0.108 0.0113954
0.02 0.114 0.0135948
0.02 0.12 0.00389701
0.02 0.126 0.0326673
0.02 0.132 0.0609766
0.02 0.138 0.0275469
0.02 0.144 0.0184274
0.02 0.15 0.0161602
0.02 0.156 0.061736
0.02 0.162 0.0749618
0.02 0.168 0.0173719
0.02 0.174 0.0346566
0.02 0.18 0.0143192
0.02 0.186 0.0997048
0.02 0.192 0.10826
0.02 0.198 0.0672436
0.02 0.204 0.0752886
0.02 0.21 0.0454419
0.02 0.216 0.0390897
0.02 0.222 0.0606827
0.02 0.228 0.0817526
0.02 0.234 0.0894278
0.02 0.24 0.0906299
0.02 0.246 0.0264381
0.02 0.252 0.031935
0.02 0.258 0.028009
0.02 0.264 0.0214907
0.02 0.27 0.0133653
0.02 0.276 0.0100695
0.02 0.282 0.00514489
0.02 0.288 0.00468528
0.02 0.294 0.00258044
0.02 0.3 0.00532118
0.02 0.306 0.00219406
0.02 0.312 0.00424826
0.02 0.318 0.00395429
0.02 0.324 0.00867324
0.02 0.33 0.00419344
0.02 0.336 0.00214526
0.02 0.342 0.00728826
0.02 0.348 0.00383175
0.02 0.354 0.00510898
0.02 0.36 0.00222537
0.02 0.366 0.000656376
0.02 0.372 0.00265497
0.02 0.378 0.00031595
0.02 0.384 0.00238165
0.02 0.39 0.000571966
0.02 0.396 0.00213079
0.02 0.402 0.00315688
0.02 0.408 0.00303793
0.02 0.414 0.00277306
0.02 0.42 0.00457608
0.02 0.426 0.00527856
0.02 0.432 0.00504977
0.02 0.438 0.00377487
0.02 0.444 9.1136e-06
0.02 0.45 0.000502471
0.02 0.456 0.0020642
0.02 0.462 0.00350857
0.02 0.468 0.000953241
0.02 0.474 0.000972517
0.02 0.48 0.00275058
0.02 0.486 0.00275058
0.02 0.492 0.00275058
0.02 0.498 0.00275058
0.02 0.504 0.00275058
0.02 0.51 0.00275058
0.02 0.516 0.00275058
0.02 0.522 0.00275058
0.02 0.528 0.00275058
0.02 0.534 0.00275058
